ตาราง 17.6 จำนวนสถานประกอบการที่พักแรม จำแนกตามรูปแบบการจัดตั้งตามกฎหมาย และภาค พ.ศ. 2561 2563 และ 2565,,,,,,,,
"Table  17.6 Number of Accommodation Establishments by form of Legal Organization and Region: 2018, 2020 and 2022",,,,,,,,
,,,,,,,,
,,,,,,,,(แห่ง  Establishment)
ปี,ภาค,จำนวนสถานประกอบการ (Number of establishments),ส่วนบุคคล ห้างหุ้นส่วนสามัญที่ไม่เป็นนิติบุคคล ( Individua proprietorl),ห้างหุ้นส่วนสามัญนิติบุคคล ห้างหุ้นส่วนจำกัด (Juristic partnership),"บริษัทจำกัด บริษัทจำกัด (มหาชน) (Company limited, public company limited)",การจัดตั้งในรูปแบบอื่น ๆ (Others),Year,Region   
2561,ทั่วราชอาณาจักร,24391,18749,1333,4161,148,2018,Whole Kingdom
2561,กรุงเทพมหานคร,1226,402,71,753,-,2018,Bangkok
2561,ภาคกลาง,6439,4945,301,1182,11,2018,Central Region
2561,ภาคเหนือ,4960,3989,312,617,42,2018,Northern Region
2561,ภาคตะวันออกเฉียงเหนือ,4977,4442,278,206,51,2018,Northeastern Region
2561,ภาคใต้,6789,4971,371,1403,44,2018,Southern Region
2563,ทั่วราชอาณาจักร,24269,18460,1278,4414,117,2020,Whole Kingdom
2563,กรุงเทพมหานคร,1217,391,-,826,-,2020,Bangkok
2563,ปริมณฑล,341,232,50,59,-,2020,Vicinity
2563,ภาคกลาง,6054,4417,363,1262,12,2020,Central Region
2563,ภาคเหนือ,4939,4023,321,525,70,2020,Northern Region
2563,ภาคตะวันออกเฉียงเหนือ,4970,4511,191,240,28,2020,Northeastern Region
2563,ภาคใต้,6748,4886,353,1502,7,2020,Southern Region
2565,ทั่วราชอาณาจักร,30786,21392,1935,7170,289,2022,Whole Kingdom
2565,กรุงเทพมหานคร,1289,190,38,1061,-,2022,Bangkok
2565,ปริมณฑล,468,243,9,215,1,2022,Vicinity
2565,ภาคกลาง,7882,5866,384,1619,13,2022,Central Region
2565,ภาคเหนือ,6401,4613,501,1123,164,2022,Northern Region
2565,ภาคตะวันออกเฉียงเหนือ,6711,5650,370,669,22,2022,Northeastern Region
2565,ภาคใต้,8035,4830,633,2483,89,2022,Southern Region
,,,,,,,,
หมายเหตุ:  เป็นข้อมูลผลการดำเนินกิจการในช่วง ม.ค. - ธ.ค. ของปีก่อนหน้า  ,,,,,,,,
Note:  Oparation data in Jan. - Dec. of previous year,,,,,,,,
ที่มา:  การสำรวจที่พักแรม สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,
"Source:  The Accommodation Survey, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,
