ตาราง  10.11 การสะสมทุนในรูปสินทรัพย์ถาวร จำแนกตามแบบปริมาณลูกโซ่ (ปีอ้างอิง พ.ศ. 2545) และสินค้าประเภททุน พ.ศ. 2563 - 2565,,,,
Table10.11 Gross Fixed Capital Formation by Chain Volume Measures (Reference Year = 2002)  and Type of Capital Goods: 2020 - 2022,,,,
,,,,
,,,,(ล้านบาท  Million Baht)
สินค้าประเภททุน_1,2563 (2020)r ,2564 (2021),2565 (2022)p,Type of capital goods
การก่อสร้าง,884812,904878,884806,Construction
ภาคเอกชน,374711,372362,366820,Private sector
อาคารที่อยู่อาศัย,190819,184775,190077,Dwellings
อาคารมิใช่ที่อยู่อาศํย,103875,104954,116900,Non-dwelling construction
ก่อสร้างอื่นๆ,65541,69415,46417,Other construction
ต้นทุนค่าโอนเปลี่ยนมือ,13223,11887,11387,Costs of ownership transfer
ภาครัฐบาล,506834,529100,514667,Public sector
อาคารที่อยู่อาศัย,8084,9476,10715,Dwellings
อาคารมิใช่ที่อยู่อาศํย,87026,87371,81370,Non-dwelling construction
ก่อสร้างอื่นๆ,412151,432707,423110,Other construction
เครื่องจักรและบริภัณฑ์อื่นๆ,1587318,1642837,1721500,Machinery and other equipment
บริภัณฑ์ขนส่ง,725905,672212,726104,Transport equipment
ยานยนต์,619141,567272,623206,Road motor equipment
บริภัณฑ์อื่นๆ,106070,105480,100886,Other vehicles
เครื่องจักรเครื่องมือและอุปกรณ์,871284,963133,992100,Machinery and equipment
เครื่องจักรเพื่อการอุตสาหกรรม,461497,512997,517852,Industrial machinery
บริภัณฑ์สำนักงาน,403815,443768,466802,Office equipment
การสะสมทุนถาวร,2486963,2562913,2621321,Gross fixed capital formation
,,,,
หมายเหตุ: ปริมาณลูกโซ่ไม่มีคุณสมบัติของการบวก คือ ผลรวมของมูลค่าส่วนย่อยไม่เท่ากับมูลค่าส่วนรวมที่เกิดจากการทำปริมาณลูกโซ่,,,,
Note: Chain volume series are not additive. The sum of the components will thus not be equal to the shown totals.,,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,
"Source: Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,
