ตาราง 10.3 ผลิตภัณฑ์มวลรวมในประเทศ จำแนกตามแบบปริมาณลูกโซ่ (ปีอ้างอิง พ.ศ. 2545) และสาขาการผลิต พ.ศ. 2563 - 2565,,,,
Table 10.3 Gross Domestic Product by Chain Volume Measures (Reference Year = 2002) and Economic Activities: 2020 - 2022,,,,
,,,,
,,,,(ล้านบาท  Million Baht)
สาขาการผลิต,2563 (2020)r ,2564 (2021),2565 (2022)p,Economic activities
ภาคเกษตร,649198,663775,680281,Agriculture
เกษตรกรรม การป่าไม้ และการประมง,649198,663775,680281,"Agriculture, forestry and fishing"
ภาคนอกเกษตร,9687425,9833088,10075030,Non-agriculture
หมวดอุตสาหกรรม,3272520,3396717,3398439,Industrial
การทำเหมืองแร่และเหมืองหิน,208020,200604,175904,Mining and quarrying
การผลิตอุตสาหกรรม,2729756,2858830,2878116,Manufacturing
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,286663,287437,297106,"Electricity, gas, steam and air conditioning supply"
การประปาและการจัดการของเสีย,56075,58620,61269,"Water supply; sewerage, waste management and remediation activities"
หมวดบริการ,6440561,6463011,6707473,Services
การก่อสร้าง,295932,302539,295366,Construction
การขายส่งและการขายปลีก การซ่อมยานยนต์ และจักรยานยนต์,1626590,1651522,1712328,Wholesale and retail trade; repair of motor vehicles and motorcycles
การขนส่งและสถานที่เก็บสินค้า,572017,558852,603413,Transportation and storage
ที่พักแรมและบริการด้านอาหาร,440306,374133,503356,Accommodation and food service activities
ข้อมูลข่าวสารและการสื่อสาร,612488,646386,679804,Information and communication
การเงินและการประกันภัย,827899,874484,854273,Financial and insurance activities
กิจกรรมอสังหาริมทรัพย์,436760,443923,454117,Real estate activities
กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,206347,199998,202210,"Professional, scientific and technical activities"
กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,147248,135711,141082,Administrative and support service activities
การบริหารราชการ การป้องกันประเทศ ๆ,536568,538196,532468,Public administration and defence; compulsory social security
การศึกษา,337240,338114,342939,Education
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,250730,259696,272770,Human health and social work activities
ศิลปะ ความบันเทิง และนันทนาการ,101477,107208,108072,"Arts, entertainment and recreation"
กิจกรรมการบริการด้านอื่นๆ,149774,141137,143661,Other service activities
ลูกจ้างในครัวเรือนส่วนบุคคล,16989,16974,16887,Activities of households as employers
ผลิตภัณฑ์มวลรวมในประเทศ (sum up),10488077,10658139,10955422,Gross Domestic Product (GDP sum up)
ความคลาดเคลื่อน,229380,238567,279240,Residual (GDP (sum up) - GDP CVM)
เปอร์เซ็นต์ความคลาดเคลื่อน,2.2,2.3,2.6,% Residual (GDP sum up) to GDP CVM
ผลิตภัณฑ์มวลรวมในประเทศ (CVM),10258697,10419572,10676182,Gross Domestic Product (GDP CVM)
รายได้ประชาชาติ (CVM),10010533,10026594,10330962,Gross National Income (GNI  CVM)
,,,,
หมายเหตุ: ปริมาณลูกโซ่ไม่มีคุณสมบัติของการบวก คือ ผลรวมของมูลค่าส่วนย่อยไม่เท่ากับมูลค่าส่วนรวมที่เกิดจากการทำปริมาณลูกโซ่,,,,
Note: Chain volume series are not additive. The sum of the components will thus not be equal to the shown totals.,,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,
"Source: Office of the National Economic and Social Development Council,  Office of the Prime Minister",,       ,,
