ตาราง 10.13 การออมและการลงทุนในประเทศ พ.ศ. 2563 - 2565,,,,,,
Table 10.13 Savings and Gross Capital Formation: 2020 - 2022,,,,,,
,,,,,,
,,,,,,(ล้านบาท  Million Baht)
รายการ,2563 (2020)r ,2564 (2021),2565 (2022)p,2564 (2021)_อัตราการขยายตัว (Growth Rate),2565 (2022)_อัตราการขยายตัว (Growth Rate),Item
การลงทุน,3720403,4634076,4836150,24.6,4.4,Gross domestic capital formation
ภาคเอกชน,2627735,2743095,3005956,4.4,9.6,Private sector
ภาครัฐบาล,1007633,1060133,1053747,5.2,-0.6,Public sector
ส่วนเปลี่ยนสินค้าคงเหลือ,85035,830848,776447,877.1,-6.5,Change in inventories
การออมเบื้องต้น,4375092,4303441,4284842,-1.6,-0.4,Gross savings
การออมสุทธิ,1434464,1416580,1505774,-1.2,6.3, Net savings
ภาคเอกชน,2236251,2487798,1948833,11.2,-21.7,Private sector
ครัวเรือนและสถาบันไม่แสวงกำไรที่ให้บริการครัวเรือน,932946,998081,198684,7.0,-80.1,Households and NPISHs
นิติบุคคลเอกชนและสหกรณ์,1303305,1489717,1750149,14.3,17.5,Corporations and cooperatives
ภาครัฐบาล,-801787,-1071218,-443059,33.6,-58.6,Public sector
การออมสุทธิของรัฐบาล,-981344,-1310329,-745903,33.5,-43.1,General government
การออมสุทธิของรัฐวิสาหกิจ,179557,239111,302844,33.2,26.7,Public corporations and government enterprises
ค่าเสื่อมราคาทรัพย์สินถาวร,2974143,3040598,3130027,2.2,2.9,Provision for consumption of fixed capital
หัก: สถิติคลาดเคลื่อน,33515,153737,350959,358.7,128.3,Less: Statistical discrepancy
หัก: ช่องว่างระหว่างการออมและการลงทุน,654689,-330635,-551308,-150.5,66.7,Less: Surplus of the nation on current account
,,,,,,
ที่มา:  สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,,,
"Source:  Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,,,
