ตาราง 10.12 รายได้ รายจ่าย และการออมของครัวเรือน พ.ศ. 2563 - 2565,,,,
"Table 10.12 Households Income, Expenditure and Savings: 2020 - 2022",,,,
,,,,
,,,,(ล้านบาท  Million Baht)
รายการ,2563 (2020)r ,2564 (2021),2565 (2022)p,Item
รายรับเบื้องต้น,10748017,10990947,11361541,Personal income
รายจ่าย,1413174,1415535,1553430,Personal outlay
รายได้พึงจับจ่ายใช้สอยเบี้องต้น,9334843,9575412,9808111,Disposable personal income
หัก:  ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,8307940,8455879,9481327,Less: Private consumption expenditure
บวก:  การเปลี่ยนแปลงในสิทธิบำเหน็จบำนาญจากการลงทุน(1),117207,103552,103522,Plus: Adjustment for the change in pension entitlement(1)
หัก:  ค่าเสื่อมราคา,211164,225004,231622,Consumption of fixed capital
การออมสุทธิ,932946,998081,198684,Net savings
รายได้พึงจับจ่ายใช้สอยสุทธิต่อคน (บาท),131259,134175,137099,Net disposable income per capital (Baht)
ค่าใช้จ่ายเพื่อการอุปโภคบริโภคต่อคน (บาท),119523,121339,135736,Personal outlay per capita (Baht)
การออมสุทธิต่อคน (บาท),13422,14322,2844,Personal savings per capita (Baht)
"ประชากร (1,000 คน)",69509,69688,69851,"Population (1,000 persons)"
,,,,
(1) กองทุนของรัฐบาล ประกอบด้วย กองทุนประกันสังคม (กรณีเงินสงเคราะห์บุตรและชราภาพ) กองทุนช่วยเหลือครูเอกชน กองทุนบำเหน็จบำนาญข้าราชการกรุงเทพมหานครและกองทุนบำเหน็จบำนาญข้าราชการส่วนท้องถิ่น,,,,
"(1) Governmental funds consist of social security fund (In the case of child allowence and old age), private teacher aid fund, Bangkok Metropolitan Administration pension fund and local administration pension fund.",,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,
"Source: Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,
