ตาราง 21.7 ปริมาณขยะมูลฝอย จำแนกตามภาค พ.ศ. 2564 - 2566   ,,,,,,
Table 21.7 Quantity of Solid Waste by Region: 2021 - 2023,,,,,,
,,,,,,
,,,,,,(ปริมาณตันต่อวัน  Quantity ton per day)   
ภาค,2564 (2021),2565 (2022),2566 (2023),อัตราการเปลี่ยนแปลง (Percent change)_2565 (2022),อัตราการเปลี่ยนแปลง (Percent change)_2566 (2023),Region
ทั่วราชอาณาจักร,68434,70411,73840,2.9,4.9,Whole Kingdom
กรุงเทพมหานคร,12214,12890,12748,5.5,-1.1,Bangkok 
ภาคกลาง,21844,22675,24121,3.8,6.4,Central Region
ภาคเหนือ,9090,9280,9393,2.1,1.2,Northern Region
ภาคตะวันออกเฉียงเหนือ,16902,16882,17873,-0.1,5.9,Northeastern Region
ภาคใต้,8384,8684,9705,3.6,11.8,Southern Region
,,,,,,
ที่มา: กรมควบคุมมลพิษ  กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,,,,,
"Sources: Pollution Control Department,  Ministry of Natural Resources and Environment",,,,,,
