ตาราง 21.6 พื้นที่เพื่อการอนุรักษ์ธรรมชาติ จำแนกตามประเภทของพื้นที่ พ.ศ. 2563 - 2565,,,,,,,
Table 21.6 Protected Area by Type of Area: 2020 - 2022,,,,,,,
,,,,,,,
,,,,,,,(ตารางกิโลเมตร  Sq.km)
ประเภทของพื้นที่,2563 (2020)_แห่ง (Unit),2563 (2020)_เนื้อที่ (Area),2564 (2021)_แห่ง (Unit),2564 (2021)_เนื้อที่ (Area),2565 (2022)_แห่ง (Unit),2565 (2022)_เนื้อที่ (Area),Type of area
รวมยอด,440,108558.9,442,108558.8,445,108115.1,Total 
อุทยานแห่งชาติ,133,63532.5,133,63532.5,133,63532.5,National park
วนอุทยาน,91,1051.9,91,1051.8,91,1051.8,Forest park
เขตรักษาพันธุ์สัตว์ป่า,60,37377.1,62,37377.1,62,37377.1,Wildlife sanctuary area
เขตห้ามล่าสัตว์ป่า,88,6513.8,88,6513.8,88,6068.6,Non-hunting area
สวนพฤกษศาสตร์,16,49.3,16,49.2,18,49.9,Botanical garden
สวนรุกขชาติ,52,34.4,52,34.4,53,35.2,Arboretum
,,,,,,,
ที่มา: กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช  กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,,,,,,
"Source: Department of National Park, Wildlife and Plant Conservation, Ministry of Natural Resource and Environment",,,,,,,
