ตาราง 8.1 รายได้ และค่าใช้จ่ายเฉลี่ยต่อเดือนของครัวเรือน จำแนกตามภาค พ.ศ. 2564 - 2566,,,,,,,
Table 8.1 Average Monthly Income and Expenditure per Household by Region: 2021 - 2023,,,,,,,
,,,,,,,
,,,,,,,(บาท  Baht)
ภาค,รายได้เฉลี่ยต่อเดือนของครัวเรือน (Average monthly income per household)_2564 (2021),รายได้เฉลี่ยต่อเดือนของครัวเรือน (Average monthly income per household)_2566 (2023),ร้อยละของการเปลี่ยนแปลงต่อปีAnnual (percent change),ค่าใช้จ่ายเฉลี่ยต่อเดือนของครัวเรือน(Average monthly expenditure per household)_2565 (2022),ค่าใช้จ่ายเฉลี่ยต่อเดือนของครัวเรือน(Average monthly expenditure per household)_2566 (2023),ร้อยละของการเปลี่ยนแปลง ต่อปีAnnual (percent change),Region
ทั่วราชอาณาจักร ,27352,29030,6.1,22372,23695,5.9,Whole Kingdom
กรุงเทพมหานครและ 3 จังหวัด(1),39047,39087,0.1,28962,32096,10.8,Greater Bangkok(1)
ภาคกลาง,28166,30200,7.2,23257,24635,5.9,Central Region
ภาคเหนือ,20995,24040,14.5,17718,18961,7.0,Northern Region
ภาคตะวันออกเฉียงเหนือ,21587,22524,4.3,18582,18676,0.5,Northeastern Region
ภาคใต้,26621,28532,7.2,21907,23263,6.2,Southern Region
,,,,,,,
(1) รวมจังหวัดนนทบุรี ปทุมธานี และสมุทรปราการ,,,,,,,
"(1) Including Nonthaburi, Pathum Thani and Samut Prakan",,,,,,,
หมายเหตุ: ตั้งแต่ปี 2549 ทำการสำรวจทุกปี ทั้งนี้ในปีที่เป็นเลขคู่จัดทำทั้งรายได้ ค่าใช้จ่าย และหนี้สิน สำหรับปีที่เป็นเลขคี่จัดทำเฉพาะค่าใช้จ่าย,,,,,,,
"Note: Since 2006 the SES has been conducted annually, that is, in the year of even number, the module of income, expenditure ",,,,,,,
ที่มา: การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน ทั่วราชอาณาจักร  สำนักงานสถิติแห่งชาติ  ,,,,,,,
"Source: The Household Socio-Economic Survey Whole Kingdom,  National Statistical Office, Ministry of Digital Economy and Society",,,,,,,
