ตาราง  8.2  รายได้เฉลี่ยต่อเดือนของครัวเรือน จำแนกตามแหล่งที่มาของรายได้ และภาค พ.ศ. 2564 และ 2566,,,,,,,,,,,,,
Table  8.2   Average Monthly Income per Household by Source of Income and Region: 2021 and 2023 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,(บาท  Baht)
แหล่งที่มาของรายได้,ทั่วราชอาณาจักร(Whole Kingdom)_2564 (2021),ทั่วราชอาณาจักร(Whole Kingdom)_2566 (2023),กรุงเทพมหานครและ 3 จังหวัด(Greater Bangkok)_2564 (2021),กรุงเทพมหานครและ 3 จังหวัด(Greater Bangkok)_2566 (2023),ภาคกลาง(Central Region)_2564 (2021),ภาคกลาง(Central Region)_2566 (2023),ภาคเหนือ(Northern Region)_2564 (2021),ภาคเหนือ(Northern Region)_2566 (2023),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2564 (2021),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2566 (2023),ภาคใต้(Southern Region)_2564 (2021),ภาคใต้(Southern Region)_2566 (2023),Source of income
รายได้ทั้งสิ้นต่อเดือน,27352,29030,38857,39087,28166,30200,20995,24040,21587,22524,26621,28532,Total monthly income
รายได้ประจำ,27018,28706,38737,38905,27903,29939,20610,23558,21172,22130,26352,28183,Total current income
รายได้ที่เป็นตัวเงิน,22367,24501,32223,33810,23786,26262,16617,19585,16906,17908,22218,24279,Money income
รายได้จากการทำงาน,18255,20465,28183,30027,20404,23036,12209,15040,11934,12724,18839,21189,From earning
ค่าจ้างและเงินเดือน,11639,12605,21885,22200,13486,14577,6436,6899,6378,6972,8922,10658,Wages and salaries
กำไรสุทธิจากการทำธุรกิจ,4319,5417,6203,7731,4541,5854,3043,4552,3211,3288,4753,5855,Net profits from business
กำไรสุทธิจากการทำการเกษตร,2297,2443,95,96,2377,2605,2730,3589,2345,2464,5164,4676,Net profits from farming
เงินที่ได้รับเป็นการช่วยเหลือ,3869,3794,3591,3448,3183,3036,4151,4218,4838,5024,3200,2864,From current transfers
รายได้จากทรัพย์สิน,243,242,449,335,199,190,257,327,134,161,179,226,From property income
รายได้ที่ไม่เป็นตัวเงิน,4650,4205,6514,5095,4118,3677,3993,3973,4267,4221,4133,3905,Non-money income
รายได้ไม่ประจำ (ที่เป็นตัวเงิน),334,325,120,182,263,261,385,482,415,395,270,349,Non-current money income
,,,,,,,,,,,,,
(1) รวมจังหวัดนนทบุรี ปทุมธานี และสมุทรปราการ,,,,,,,,,,,,,
"(1) Including Nonthaburi, Pathum Thani and Samut Prakan.",,,,,,,,,,,,,
(2) รายได้ที่ไม่เป็นตัวเงิน ได้แก่ อาหาร เครื่องดื่ม สินค้าและบริการ ที่ได้มาโดยไม่ได้ซื้อและค่าประเมินค่าเช่าบ้านที่ไม่เสียเงิน (รวมบ้านของตนเอง),,,,,,,,,,,,,
"(2) Non-money income are food and beverages, goods and services obtained without purchase and the value of rent received without payment (including own dwelling).",,,,,,,,,,,,,
หมายเหตุ: ตั้งแต่ปี 2549 ทำการสำรวจทุกปี ทั้งนี้ในปีที่เป็นเลขคู่จัดทำทั้งรายได้ ค่าใช้จ่าย และหนี้สิน สำหรับปีที่เป็นเลขคี่จัดทำเฉพาะค่าใช้จ่าย,,,,,,,,,,,,,
"Note: Since 2006 the SES has been conducted annually, that is, in the year of even number, the module of income, expenditure and debt will be surveyed, while in the year of odd number only expenditure module will be surveyed.",,,,,,,,,,,,,
ที่มา: การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,,
"Source: The Household Socio-Economic Survey Whole Kingdom, National Statistical Office,   Ministry of Digital Economy and Society",,,,,,,,,,,,,
