ตาราง  8.6  จำนวนหนี้สิน และหนี้สินเฉลี่ยต่อครัวเรือน  จำแนกตามวัตถุประสงค์ของการกู้ยืม แหล่งเงินกู้ และภาค พ.ศ. 2564 และ 2566   ,,,,,,,,,,,,,
"Table  8.6  Total Debt and Average Amount of Debt per Household  by Purpose of Borrowing, Source of Loan and Region: 2021 and 2023",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,(บาท  Baht)
วัตถุประสงค์ของการกู้ยืม,ทั่วราชอาณาจักร(Whole Kingdom)_2564 (2021),ทั่วราชอาณาจักร(Whole Kingdom)_2566 (2023),กรุงเทพมหานครและ 3 จังหวัด (Greater Bangkok) (1)_2564 (2021),กรุงเทพมหานครและ 3 จังหวัด(Greater Bangkok) (1)_2566 (2023),ภาคกลาง(Central Region)_2564 (2021),ภาคกลาง(Central Region)_2566 (2023),ภาคเหนือ(Northern Region)_2564 (2021),ภาคเหนือ(Northern Region)_2566 (2023),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2564 (2021),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2566 (2023),ภาคใต้(Southern Region)_2564 (2021),ภาคใต้(Southern Region)_2566 (2023),Purpose of borrowing
จำนวนหนี้สิน (ล้านบาท),4653360,4724230,1096146,1103683,964760,1031842,797219,720490,1260063,1195757,535172,672458,Total debt (Million Baht)
หนี้สินเฉลี่ยต่อครัวเรือน,205679,197255,225940,207985,189455,182494,201724,182968,215853,200540,185120,217716,Average amount of debt per household
จำแนกตามวัตถุประสงค์ เพื่อใช้จ่ายในครัวเรือน,155166,153285,213528,197151,152119,153998,120642,114222,142072,133700,136226,164224,By purpose of borrowing for household expenditures
จำแนกตามวัตถุประสงค์ เพื่อ ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,73808,79410,142821,141002,67511,77337,53147,48454,45285,42690,54927,87739,By purpose of borrowing for Purchase/hire-purchase of house and/or land
จำแนกตามวัตถุประสงค์ เพื่อใช้ในการศึกษา,3154,2625,2218,1991,1742,1717,3453,3684,3288,2909,6532,3476,By purpose of borrowing for Education
จำแนกตามวัตถุประสงค์ เพื่อใช้จ่ายอุปโภคบริโภคอื่น ๆ,78204,71250,68489,54158,82866,74944,64042,62084,93499,88101,74767,73009,By purpose of borrowing for  Household consumption
จำแนกตามวัตถุประสงค์ใช้ในการทำธุรกิจ,17144,15276,11272,9928,14003,11224,20743,16503,17964,15439,25957,30003,By purpose of borrowing for Business
จำแนกตามวัตถุประสงค์ใช้ในการทำการเกษตร,32379,27963,811,798,23070,16826,58913,51118,54568,50754,20672,21504,By purpose of borrowing for Farming
จำแนกตามวัตถุประสงค์หนี้อื่น ๆ (2),990,731,328,108,263,446,1426,1125,1249,647,2265,1985,By purpose of borrowing for Other (2)
จำแนกตามแหล่งเงินกู้หนี้ในระบบ,202075,194736,222456,205224,185336,179684,199907,180389,211797,198855,180690,214613,"By source of loan, Loan from formal sector"
จำแนกตามแหล่งเงินกู้หนี้นอกระบบ,3604,2519,3484,2760,4118,2810,1817,2578,4056,1684,4430,3103,"By source of loan, Loan from informal sector "
,,,,,,,,,,,,,
(1)  รวมจังหวัดนนทบุรี ปทุมธานี และสมุทรปราการ,,,,,,,,,,,,,
"(1)  Including Nonthaburi, Pathum Thani and Samut Prakan.",,,,,,,,,,,,,
(2)  หนี้อื่น ๆ ได้แก่ หนี้จากการค้ำประกันบุคคลอื่น หนี้ค่าปรับหรือจ่ายชดเชยค่าเสียหาย เป็นต้น,,,,,,,,,,,,,
"(2)  Other, such as debt from guaranties, fine or compensation, etc.",,,,,,,,,,,,,
ที่มา:  การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,,
"Source:  The Household Socio-Economic Survey Whole Kingdom, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,,,,,,
