ตาราง 1.8 ประมาณการประชากร (1 ก.ค.) จำแนกตามภาค จังหวัด และเพศ พ.ศ. 2568 - 2569     ,,,,,,,,,
"Table 1.8 Population Projections (1 July) by Region, Province and Sex: 2025 - 2026",,,,,,,,,
,,,,,,,,,
,,,,,,,,,(พันคน  Thousand persons)
ภาค,จังหวัด,2568 (2025)_รวมยอด (Total),2568 (2025)_ชาย (Male),2568 (2025)_รวมยอด (Female),2569 (2026)_รวมยอด (Total),2569 (2026)_ชาย (Male),2569 (2026)_รวมยอด (Female),Region,Province
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,67089.0,32289.0,34800.0,67143.3,32294.6,34848.7,Whole Kingdom,Whole Kingdom
กรุงเทพมหานคร,กรุงเทพมหานคร,8473.2,4066.1,4407.0,8479.7,4067.6,4412.1,Bangkok Metropolitan area,Bangkok Metropolitan area
ปริมณฑล,ปริมณฑล,7702.3,3646.7,4055.6,7811.7,3695.4,4116.3,Peripheral area,Peripheral area
ปริมณฑล,สมุทรปราการ,2297.8,1087.9,1209.9,2332.6,1103.5,1229.2,Peripheral area,Samut Prakan
ปริมณฑล,นนทบุรี,1752.6,829.8,922.8,1779.0,841.6,937.4,Peripheral area,Nonthaburi
ปริมณฑล,ปทุมธานี,1705.8,807.6,898.2,1730.2,818.5,911.7,Peripheral area,Pathum Thani
ปริมณฑล,นครปฐม,1115.5,528.1,587.4,1130.0,534.5,595.4,Peripheral area,Nakhon Pathom
ปริมณฑล,สมุทรสาคร,830.6,393.3,437.4,839.9,397.3,442.6,Peripheral area,Samut Sakhon
ภาคกลางส่วนกลาง,ภาคกลางส่วนกลาง,3073.2,1502.6,1570.6,3066.0,1499.8,1566.2,Sub-Central Region,Sub-Central Region
ภาคกลางส่วนกลาง,พระนครศรีอยุธยา,880.7,430.6,450.1,880.3,430.6,449.7,Sub-Central Region,Phra Nakhon Si Ayutthaya
ภาคกลางส่วนกลาง,อ่างทอง,239.2,116.9,122.2,237.8,116.3,121.5,Sub-Central Region,Ang Thong
ภาคกลางส่วนกลาง,ลพบุรี,751.1,367.2,383.8,748.9,366.3,382.6,Sub-Central Region,Lop Buri
ภาคกลางส่วนกลาง,สิงห์บุรี,179.0,87.5,91.5,177.8,87.0,90.8,Sub-Central Region,Sing Buri
ภาคกลางส่วนกลาง,ชัยนาท,282.7,138.2,144.5,281.4,137.7,143.8,Sub-Central Region,Chai Nat
ภาคกลางส่วนกลาง,สระบุรี,740.5,362.1,378.5,739.8,361.9,377.9,Sub-Central Region,Saraburi
ภาคตะวันออก,ภาคตะวันออก,6115.5,2985.6,3129.8,6184.3,3018.7,3165.5,Eastern Region,Eastern Region
ภาคตะวันออก,ชลบุรี,1848.3,902.3,945.9,1871.8,913.7,958.1,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,1017.0,496.5,520.5,1031.4,503.5,528.0,Eastern Region,Rayong
ภาคตะวันออก,จันทบุรี,550.9,269.0,281.9,555.2,271.0,284.2,Eastern Region,Chanthaburi
ภาคตะวันออก,ตราด,273.1,133.3,139.8,275.4,134.4,141.0,Eastern Region,Trat
ภาคตะวันออก,ฉะเชิงเทรา,840.8,410.5,430.3,849.1,414.5,434.6,Eastern Region,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,660.4,319.6,340.8,667.7,323.1,344.6,Eastern Region,Prachin Buri
ภาคตะวันออก,นครนายก,258.0,126.0,132.1,259.4,126.6,132.8,Eastern Region,Nakhon Nayok
ภาคตะวันออก,สระแก้ว,666.9,328.4,338.5,674.2,331.9,342.2,Eastern Region,Sa Kaeo
ภาคตะวันตก,ภาคตะวันตก,3504.6,1709.4,1795.3,3497.5,1706.3,1791.1,Western Region,Western Region
ภาคตะวันตก,ราชบุรี,768.3,374.7,393.6,766.1,373.8,392.3,Western Region,Ratchaburi
