ตาราง  2.7  ลูกจ้าง จำแนกตามระดับค่าจ้างหรือเงินเดือน เพศ และอุตสาหกรรม ไตรมาส 3 พ.ศ. 2566,,,,,,,,,,
"Table   2.7  Employee by Wage/Salary, Sexand Industry: 3rd Quarter, 2023",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,    (พันคน  Thousand persons)
การจำแนก,การจำแนกย่อย 1,รวมยอด (Total),"ระดับค่าจ้าง/เงินเดือนต่อเดือน น้อยกว่า 2,500 บาท (Monthly wage/Salary level: Less than 2,500  Baht)","ระดับค่าจ้าง/เงินเดือนต่อเดือน 2,501 - 5,500 บาท (Monthly wage/Salary level:  2,501 - 5,500  Baht) ","ระดับค่าจ้าง/เงินเดือนต่อเดือน 5,501 - 10,000 บาท (Monthly wage/Salary level:  5,501 - 10,000  Baht)  ","ระดับค่าจ้าง/เงินเดือนต่อเดือน 10,001 - 15,000 บาท (Monthly wage/Salary level:  10,001 - 15,000  Baht)","ระดับค่าจ้าง/เงินเดือนต่อเดือน มากกว่า 15,000 บาท (Monthly wage/Salary level:  More than 15,000  Baht) ",ระดับค่าจ้าง/เงินเดือนต่อเดือน ไม่ทราบ บาท (Monthly wage/Salary level:  Unknown  Baht) ,Classification,Sub-class 1
ทั่วราชอาณาจักร,รวมยอด,18814.0,95.7,674.2,6230.4,6016.1,5657.7,140.0,Whole Kingdom,Total
เพศชาย,รวมยอด,9895.3,42.0,340.1,3250.6,3298.7,2895.7,68.3,Male,Total
เพศชาย,ลูกจ้างรัฐบาล,1639.7,0.3,27.7,434.0,360.8,810.2,6.7,Male,Government sector
เพศชาย,ลูกจ้างเอกชน ,8255.6,41.7,312.4,2816.6,2938.0,2085.5,61.6,Male,Private sector
เพศหญิง,รวมยอด,8918.7,53.7,334.1,2979.8,2717.4,2762.0,71.8,Female,Total
เพศหญิง,ลูกจ้างรัฐบาล,1893.8,0.7,29.1,395.6,387.2,1065.6,15.6,Female,Government sector
เพศหญิง,ลูกจ้างเอกชน ,7024.9,53.0,305.0,2584.2,2330.2,1696.5,56.2,Female,Private sector
อุตสาหกรรม,รวมยอด,18814.0,95.7,674.2,6230.4,6016.1,5657.7,140.0,Industry,Total
