ตาราง  2.5  ผู้มีงานทำ จำแนกตามอุตสาหกรรม และสถานภาพทำงาน ไตรมาส 3 พ.ศ. 2566,,,,,,,,
"Table   2.5   Employed Persons by Industry and Work Status: 3rd Quarter, 2023",,,,,,,,
,,,,,,,,
,,,,,,,,    (พันคน  Thousand persons)
อุตสาหกรรม,รวมยอด (Total),นายจ้าง (Employer),ลูกจ้างรัฐบาล (Government employee),ลูกจ้างเอกชน (Private employee),ทำงานส่วนตัวโดยไม่มีลูกจ้าง (Self employed with out employee),ช่วยธุรกิจของครอบครัว (Unpaid family worker),การรวมกลุ่ม (Members of producers cooperatives),Industry
รวมยอด,40091.3,904.7,3533.4,15280.6,13839.7,6511.0,22.0,Total
เกษตรกรรม การป่าไม้ และการประมง,12644.0,165.1,4.2,1051.0,7082.0,4341.3,0.5,"Agriculture, forestry and fishing"
การทำเหมืองแร่และเหมืองหิน,36.9,0.9,1.1,33.2,1.4,0.3,-,Mining and quarrying
การผลิต,6273.1,99.9,11.1,5068.5,793.8,295.2,4.7,Manufacturing
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,103.5,0.1,86.9,16.5,-,-,-,"Electricity, gas, steam and air conditioning supply"
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสีย ของเสีย และสิ่งปฏิกูล,70.8,0.5,43.4,14.7,8.6,3.6,-,"Water supply; sewerage, waste management and remediation activities"
การก่อสร้าง,2142.1,239.3,1.1,1474.3,301.2,113.6,12.5,Construction
การขายส่ง และการขายปลีก การซ่อมยานยนต์และจักรยานยนต์,6761.1,209.5,1.9,3005.3,2512.1,1031.3,1.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
การขนส่งและสถานที่เก็บสินค้า,1436.8,14.9,110.7,646.4,653.0,11.7,-,Transportation and storage
ที่พักแรมและบริการด้านอาหาร,3176.2,85.2,1.1,1088.0,1404.8,597.1,-,Accommodation and food service activities
ข้อมูลข่าวสารและการสื่อสาร,188.4,0.3,15.8,153.9,17.9,0.4,-,Information and communication
กิจกรรมทางการเงินและการประกันภัย,508.3,1.4,77.4,405.0,22.4,1.0,1.2,Financial and insurance activities
กิจกรรมอสังหาริมทรัพย์,310.8,15.5,-,239.5,50.1,4.4,1.2,Real estate activities
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,431.6,13.6,41.8,279.8,85.8,10.7,-,"Professional, scientific and technical activities"
กิจกรรมการบริหารและการบริการสนับสนุน,717.4,13.3,3.1,596.3,89.3,15.4,-,Administrative and support service activities
การบริหารราชการ การป้องกันประเทศ การประกันสังคมภาคบังคับ,1718.7,-,1718.7,-,-,-,-,Public administration and defence; compulsory social security
การศึกษา,1106.3,4.8,830.0,244.6,19.1,7.9,-,Education
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,793.6,2.9,559.6,198.6,30.1,2.4,-,Human health and social work activities
ศิลปะ ความบันเทิง และนันทนาการ,317.0,5.9,21.3,113.0,146.6,30.1,0.1,"Arts, entertainment and recreation"
กิจกรรมบริการด้านอื่น ๆ,1108.6,31.5,3.2,408.9,619.8,44.3,0.8,Other service activities
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเอง เพื่อใช้ในครัวเรือน,215.9,-,-,215.9,-,-,-,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use
กิจกรรมขององค์การระหว่างประเทศ,2.2,-,1.0,1.2,-,-,-,Activities of extraterritorial organizations and bodies
ไม่ทราบ,28.2,-,-,26.0,1.7,0.5,-,Unknown
,,,,,,,,
ที่มา: การสำรวจภาวะการทำงานของประชากร ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,            ,,
"Source: The Labour Force Survey Whole Kingdom, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,
