ตาราง  2.9  ลูกจ้างเอกชน จำแนกตามอุตสาหกรรมค่าจ้างเฉลี่ย และผลประโยชน์ตอบแทนอื่นๆ ไตรมาส 3 พ.ศ. 2566,,,,,,,
"Table   2.9  Private Employees by Industry, Average Wage and Fringe Benefit: 3rd Quarter, 2023",,,,,,,
,,,,,,,
,,,,,,,    (พันคน  Thousand persons)
อุตสาหกรรม,จำนวนลูกจ้างเอกชน (Total Private Employee),ค่าจ้างเฉลี่ย (บาท/เดือน) (Average Wage (Baht/month)),ลูกจ้างเอกชนที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Private employee fringe benefit)_โบนัส (Bonus),ลูกจ้างเอกชนที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Private employee fringe benefit)_ค่าล่วงเวลา (Overtime),ลูกจ้างเอกชนที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Private employee fringe benefit)_เงินอื่นๆ (Other Income),ลูกจ้างเอกชนที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Private employee fringe benefit)_สิ่งของ (Things),Industry
ยอดรวม,15280.6,14148.5,22.1,1759.0,1858.0,2049.5,Total
เกษตรกรรม การป่าไม้ และการประมง,1051.0,6955.5,0.4,11.3,21.0,90.3,"Agriculture, forestry and fishing"
การทำเหมืองแร่และเหมืองหิน,33.2,17403.1,-,1.7,3.6,2.7,Mining and quarrying
การผลิต,5068.5,14322.0,8.9,1308.2,1002.4,917.7,Manufacturing
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,16.5,20669.7,-,4.5,3.4,0.9,"Electricity, gas, steam and air conditioning supply"
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสีย ของเสีย และสิ่งปฏิกูล,14.7,13874.1,-,2.5,0.5,0.5,"Water supply; sewerage, waste management and remediation activities"
การก่อสร้าง,1474.3,12314.5,0.2,48.0,49.9,116.1,Construction
การขายส่ง และการขายปลีก การซ่อมยานยนต์ และจักรยานยนต์,3005.3,13868.5,7.3,148.5,306.4,170.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
การขนส่งและสถานที่เก็บสินค้า,646.4,16681.2,0.9,55.7,90.8,17.4,Transportation and storage
ที่พักแรมและบริการด้านอาหาร,1088.0,12330.1,1.7,29.7,175.1,508.0,Accommodation and food service activities
ข้อมูลข่าวสารและการสื่อสาร,153.9,30775.7,-,3.3,9.6,1.7,Information and communication
กิจกรรมทางการเงินและการประกันภัย,405.0,26532.2,0.6,5.9,60.1,6.6,Financial and insurance activities
กิจกรรมอสังหาริมทรัพย์,239.5,15933.3,0.9,7.3,17.6,38.7,Real estate activities
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,279.8,25456.6,0.3,4.1,15.4,2.5,"Professional, scientific and technical activities"
กิจกรรมการบริหารและการบริการสนับสนุน,596.3,13729.8,-,86.6,30.2,14.6,Administrative and support service activities
การบริหารราชการ การป้องกันประเทศ การประกันสังคมภาคบังคับ,-,-,-,-,-,-,Public administration and defence; compulsory social security
การศึกษา,244.6,18226.7,-,2.6,9.2,10.7,Education
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,198.6,20976.9,-,32.6,17.8,6.5,Human health and social work activities
ศิลปะ ความบันเทิง และนันทนาการ,113.0,12300.7,-,1.2,23.1,9.3,"Arts, entertainment and recreation"
กิจกรรมบริการด้านอื่น ๆ,408.9,9828.4,0.1,2.1,16.5,23.8,Other service activities
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเอง เพื่อใช้ในครัวเรือน ,215.9,10204.3,0.9,3.3,5.5,111.6,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,1.2,50000.0,-,-,-,-,Activities of extraterritorial organizations and bodies
ไม่ทราบ,26.0,22852.7,-,0.2,0.2,-,Unknown
,,,,                                                                        ,,,
ที่มา: การสำรวจภาวะการทำงานของประชากร ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,
"Source: The Labour Force Survey Whole Kingdom,  National Statistical Office,  Ministry of Digital Economy and Society",,,,,,,
