ตาราง  2.8  ลูกจ้างรัฐบาล จำแนกตามอุตสาหกรรม ค่าจ้างเฉลี่ย และผลประโยชน์ตอบแทนอื่นๆ ไตรมาส 3 พ.ศ. 2566,,,,,,,,,
"Table   2.8  Government Employees by Industry, Average Wage and Fringe Benefit: 3rd Quarter, 2023",,,,,,,,,
,,,,,,,,,
,,,,,,,    (พันคน  Thousand persons),,
อุตสาหกรรม,จำนวนลูกจ้างรัฐบาล (Total Government Employee),ค่าจ้างเฉลี่ย (บาท/เดือน) (Average Wage (Baht/month)),ลูกจ้างรัฐบาลที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Government employee fringe benefit)_โบนัส (Bonus),ลูกจ้างรัฐบาลที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Government employee fringe benefit)_ค่าล่วงเวลา (Overtime),ลูกจ้างรัฐบาลที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Government employee fringe benefit)_เงินอื่นๆ (Other Income),ลูกจ้างรัฐบาลที่ได้รับ ผลประโยชน์ตอบแทนอื่นๆ (Government employee fringe benefit)_สิ่งของ (Things),Industry,,
รวมยอด,3533.4,21084.4,3.7,228,681.2,214.8,Total,,
เกษตรกรรม การป่าไม้ และการประมง,4.2,12734.8,-,-,0.3,-,"Agriculture, forestry and fishing",,
การทำเหมืองแร่และเหมืองหิน,1.1,15000,-,-,-,-,Mining and quarrying,,
การผลิต,11.1,26554.2,-,3.4,3.2,0.6,Manufacturing,,
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,86.9,26019.5,-,4.1,13.5,1.6,"Electricity, gas, steam and air conditioning supply",,
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสีย ของเสีย และสิ่งปฏิกูล,43.4,17438,-,1.8,1.7,4.5,"Water supply; sewerage, waste management and remediation activities",,
การก่อสร้าง,1.1,14243,-,-,-,0.8,Construction,,
การขายส่ง และการขายปลีก การซ่อมยานยนต์ และจักรยานยนต์,1.9,12426.3,-,-,0.8,-,Wholesale and retail trade; repair of motor vehicles and motorcycles,,  
การขนส่งและสถานที่เก็บสินค้า,110.7,19436.5,-,4.4,16.2,5.3,Transportation and storage,,
ที่พักแรมและบริการด้านอาหาร,1.1,13728.3,-,-,-,0.1,Accommodation and food service activities,,
ข้อมูลข่าวสารและการสื่อสาร,15.8,33589.3,-,1.1,1.9,0.5,Information and communication,,
กิจกรรมทางการเงินและการประกันภัย,77.4,29061.5,-,0.2,6.1,1.9,Financial and insurance activities,,
กิจกรรมอสังหาริมทรัพย์,-,-,-,-,-,-,Real estate activities,,
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,41.8,19545.8,-,0.1,4.4,7.1,"Professional, scientific and technical activities",,
กิจกรรมการบริหารและการบริการสนับสนุน,3.1,15565.8,-,-,-,-,Administrative and support service activities,,
การบริหารราชการ การป้องกันประเทศ การประกันสังคมภาคบังคับ,1718.7,19222,1.6,40.2,273.5,115.5,Public administration and defence; compulsory social security,,
การศึกษา,830,24331.7,1.2,10.1,236.6,39.1,Education,,
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,559.6,20673.5,1,162.6,123.1,37.7,Human health and social work activities,,
ศิลปะ ความบันเทิง และนันทนาการ,21.3,17622.5,-,--,-,0.1,"Arts, entertainment and recreation",,
กิจกรรมบริการด้านอื่น ๆ,3.2,13823.7,-,-,-,-,Other service activities,,
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเอง เพื่อใช้ในครัวเรือน,-,-,-,-,-,-,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,,
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,1,26000,-,-,-,-,Activities of extraterritorial organizations and bodies,,
ไม่ทราบ,-,-,-,-,-,-,Unknown,,
,,,,                                                                        ,,,,,
ที่มา: การสำรวจภาวะการทำงานของประชากร ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source: The Labour Force Survey Whole Kingdom,  National Statistical Office,  Ministry of Digital Economy and Society",,,,,,,,,
