ตาราง 7.2 ประชากรอายุ 15 ปีขึ้นไป จำแนกตามสถานภาพแรงงาน เพศ และไตรมาส พ.ศ. 2566,,,,,,,,,
"Table 7.2 Population Aged 15 Years and Over by Labour Force Status, Sex and Quarter: 2023",,,,,,,,,
,,,,,,,,,
,,,,,,,,,(พันคน  Thousand persons)
สถานภาพแรงงาน,ไตรมาสที่ 1  (Quarter 1)_ชาย (Male),ไตรมาสที่ 1  (Quarter 1)_หญิง ( Female),ไตรมาสที่ 2  (Quarter 2)_ชาย (Male),ไตรมาสที่ 2  (Quarter 2)_หญิง ( Female),ไตรมาสที่ 3  (Quarter 3)_ชาย (Male),ไตรมาสที่ 3  (Quarter 3)_หญิง ( Female),ไตรมาสที่ 4  (Quarter 4)_ชาย (Male),ไตรมาสที่ 4  (Quarter 4)_หญิง ( Female),Labour force status
รวมยอด,28033.8,30773.7,28067.6,30818.8,28099.3,30862.3,28127.1,30900.3,Total
กำลังแรงงานรวม,21542.1,18738.8,21587.4,18714.9,21690.4,18841.4,21796.0,18877.9,Total labour force
กำลังแรงงานปัจจุบัน,21409.4,18641.0,21468.3,18638.2,21664.0,18828.6,21741.9,18837.6,Current labour force
ผู้มีงานทำ,21181.9,18447.4,21262.6,18414.8,21470.3,18621.1,21567.9,18682.2,Employed
ผู้ว่างงาน,227.5,193.6,205.7,223.4,193.7,207.5,173.9,155.4,Unemployed
กำลังแรงงานที่รอฤดูกาล,132.7,97.9,119.0,76.7,26.5,12.8,54.2,40.3,Seasonally inactive   labour force
ผู้ไม่อยู่ในกำลังแรงงาน,6491.7,12034.9,6480.2,12103.9,6408.9,12021.0,6331.1,12022.4,Persons not in   labor force
ทำงานบ้าน,279.0,4826.8,301.0,4828.7,307.1,4729.9,293.0,4777.9,Household work
เรียนหนังสือ,2185.8,2456.7,2130.8,2387.6,2137.6,2420.6,2088.3,2381.1,Studies
ยังเด็ก ชรา/ไม่สามารถทำงานได้,2869.6,3976.6,2923.8,4108.8,2876.0,4118.9,2920.1,4161.8,Too young/Old/Incapable of work
อื่น ๆ,1157.4,774.9,1124.6,778.8,1088.1,751.6,1029.6,701.6,Others
,,,,,,,,,
 ที่มา: การสำรวจภาวะการทำงานของประชากร ทั่วราชอาณาจักร  สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source: The Labour Force Survey Whole Kingdom,  National Statistical Office,  Ministry of Digital Economy and Society",,,,,,,,,
