ตาราง 7.8  เหตุการณ์ความรุนแรงในครอบครัว จำแนกตามประเภทเหตุการณ์ความรุนแรงในครอบครัว พ.ศ. 2566,,,,,,,,,,
Table 7.8 Domestic Violence by Type of Violence: 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,(ราย  Person)
ประเภท/เหตุการณ์,ผู้กระทำ (Offender)_รวม (Total),ผู้กระทำ (Offender)_ชาย ( Male),ผู้กระทำ (Offender)_หญิง ( Female),ผู้กระทำ (Offender)_ไม่ระบุ (Unknown),ผู้ถูกกระทำ (Victims)_รวม (Total),ผู้ถูกกระทำ (Victims)_ชาย (Male),ผู้ถูกกระทำ (Victims)_ หญิง ( Female),ผู้ถูกกระทำ (Victims)_ไม่ระบุ (Unknown),จำนวนเหตุการณ์ (No. of violence) (1) ,Type of violence
รวมยอด,1773,1441,304,28,1854,358,1460,36,2010,Total
ทำร้ายร่างกาย,964,800,146,18,1006,201,780,25,1120,Physiological Assault
ดุด่า/ดูถูก,334,254,79,1,348,66,275,7,358,Scold/insult
หยาบคาย/ตะคอก/ประจาน/ขู่/บังคับ,298,248,45,5,312,52,256,4,318,Bearish/snap/revile/threaten/force
การละเลย/ทอดทิ้ง,46,29,17,-  ,46,13,33,-  ,48,Abandonment
ข่มขืน,56,49,5,2,56,3,53,-  ,62,Rape
กักขัง/หน่วงเหนี่ยว,33,23,8,2,42,19,23,-  ,50,Detain
อนาจาร,28,27,1,-  ,30,3,27,-  ,35,Obscenity
ล่อลวง,4,3,1,-  ,4,- ,4,-  ,7,Enticement
ไม่ระบุ,10,8,2,-  ,10,1,9,-  ,12,Unknown
,,,,,,,,,,
(1)  ในแต่ละเหตุการณ์ สามารถเข้าข่ายได้หลายประเภท,,,,,,,,,,
(1)  Each violence can be classified into several types,,,,,,,,,,
หมายเหตุ: ข้อมูล ณ วันที่ 6 กุมภาพันธ์ 2567,,,,,,,,,,
 Note:  Data as of 6 February 2024,,,,,,,,,,
 ที่มา: รายงานข้อมูลสถานการณ์ด้านความรุนแรงในครอบครัว กรมกิจการสตรีและสถาบันครอบครัว  กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,,,,,,,,,,
"Source: Report of the Domestic Violence, Department of Women's Affairs and Family Development, Ministry of Social Development and Human Security",,,,,,,,,,
