ตาราง 7.5 จำนวนผู้ป่วยมะเร็งรายใหม่ จำแนกตามเพศ และเขตบริการสุขภาพ พ.ศ. 2565,,,,,,,
Table 7.5 Number of New Cancer Patients by Sex and Health Service Network: 2022,,,,,,,
,,,,,,,
,,,,,,,(คน  Person)
เขตบริการสุขภาพ,รวม (Total)_จำนวน (Number),รวม (Total)_ ร้อยละ (Percentage),ชาย  (Male)_จำนวน (Number),ชาย  (Male)_ ร้อยละ (Percentage),หญิง  (Female)_ จำนวน ( Number),หญิง  (Female)_ ร้อยละ (Percentage),Health service network
รวมยอด,3190,100.0,1294,100.0,1896,100.0,Total
เขต 1,58,1.8,20,1.5,38,2.0,Health service network 1
เขต 2,107,3.4,52,4.0,55,2.9,Health service network 2
เขต 3,103,3.2,37,2.9,66,3.5,Health service network 3
เขต 4,570,17.9,253,19.6,317,16.7,Health service network 4
เขต 5,424,13.3,181,14.0,243,12.8,Health service network 5
เขต 6,406,12.7,171,13.2,235,12.4,Health service network 6
เขต 7,61,1.9,25,1.9,36,1.9,Health service network 7
เขต 8,43,1.3,17,1.3,26,1.4,Health service network 8
เขต 9,106,3.3,43,3.3,63,3.3,Health service network 9
เขต 10,61,1.9,25,1.9,36,1.9,Health service network 10
เขต 11,75,2.4,17,1.3,58,3.1,Health service network 11
เขต 12,22,0.7,12,0.9,10,0.5,Health service network 12
กรุงเทพมหานคร,881,27.6,330,25.5,551,29.1,Bangkok
ไม่ทราบที่อยู่,83,2.6,30,2.3,53,2.8,Address unknown
ชาวต่างชาติ,190,6.0,81,6.3,109,5.7,Foreigner
,,,,,,,
ที่มา:  สถาบันมะเร็งแห่งชาติ กรมการแพทย์  กระทรวงสาธารณสุข,,,,,,,
"Source:  National Cancer Institute, Department of Medical Services, Ministry of Public Health",,,,,,,
