ตาราง  15.5 รถจดทะเบียนใหม่ ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522 จำแนกตามประเภท พ.ศ. 2565 - 2566,,,,,,,
Table  15.5 New Vehicles Registered Under Motor Vehicle ACT B.E. 2522 (1979) by Type: 2022 - 2023,,,,,,,
,,,,,,,
,,,,,,,(คัน Car)
ประเภท,2565 (2022)_ทั่วราชอาณาจักร (Whole Kingdom),2565 (2022)_กรุงเทพมหานคร (Bangkok),2565 (2022)_จังหวัดอื่น ๆ (Others Provinces),2566 (2023)_ ทั่วราชอาณาจักร (Whole Kingdom),2566 (2023)_กรุงเทพมหานคร (Bangkok),2566 (2023)_จังหวัดอื่น ๆ (Others Provinces),Type
รวม,2939118,915365,2023753,2976998,952882,2024116,Total
รถยนต์นั่งส่วนบุคคล  ไม่เกิน 7 คน,630545,337485,293060,653528,357250,296278,Sedan (not more   than 7 passengers)
รถยนต์นั่งส่วนบุคคลเกิน 7 คน,23330,15447,7883,19283,12410,6873,Microbus and   passenger van
รถยนต์บรรทุกส่วนบุคคล,234909,80644,154265,170903,58088,112815,Van and pick up
รถยนต์สามล้อส่วนบุคคล,91,32,59,83,22,61,Motortricycle
รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,1530,1486,44,2597,2195,402,Urban taxi 
รถยนต์สี่ล้อเล็กรับจ้าง,1,-,1,3,3,-,Fixed route taxi
รถยนต์รับจ้างสามล้อ,287,223,64,689,544,145,Motortricycle taxi (Tuk Tuk)
รถยนต์บริการธุรกิจ,71,20,51,334,34,300,Hotel taxi 
รถยนต์บริการทัศนาจร,221,192,29,729,266,463,Tour taxi 
รถยนต์บริการให้เช่า,9,9,-,11,10,1,Car for hire
รถจักรยานยนต์,1974502,462962,1511540,2065021,505749,1559272,Motorcycle
รถแทรกเตอร์,69945,14905,55040,60429,14445,45984,Tractor
รถบดถนน,851,208,643,696,172,524,Road roller
รถใช้งานเกษตรกรรม,487,-,487,378,-,378,Farm vehicle
รถพ่วง,1132,1038,94,1044,960,84,Automobile trailer
รถจักรยานยนต์สาธารณะ,1207,714,493,1270,734,536,Public motorcycle
,,,,,,,
ที่มา:  กรมการขนส่งทางบก กระทรวงคมนาคม,,,,,,,
"Source:  The Department of Land Transport, Ministry of Transport ",,,,,,,
