ตาราง 18.11 เงินเบี้ยประกันชีวิต จำแนกตามประเภทการประกันชีวิต พ.ศ. 2566 ,,,,,,,,,,,,,,
Table  18.11 Premiums of Life Insurance Business by Type of Insurance: 2023  ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(พันบาท  Thousand Baht)
ประเภทการประกันชีวิต,รวมยอด (Total),การประกันชีวิตกรมธรรม์หลัก (Life main policy)_ รวมยอด (Total ),การประกันชีวิตกรมธรรม์หลัก (Life main policy)_ สามัญ (Ordinary),การประกันชีวิตกรมธรรม์หลัก (Life main policy)_ อุตสาหกรรม (Industrial),การประกันชีวิตกรมธรรม์หลัก (Life main policy)_ กลุ่ม (Group),การประกันชีวิตกรมธรรม์หลัก (Life main policy)_ ผลิตภัณฑ์ประกันชีวิตแบบบำนาญ (Pension Life insurance products),การประกันชีวิตกรมธรรม์หลัก (Life main policy)_ ผลิตภัณฑ์ประกันชีวิตแบบยูนิตลิงค์ (Unit linked Life insurance products),การประกันชีวิตกรมธรรม์หลัก (Life main policy)_ ผลิตภัณฑ์ประกันชีวิตแบบยูนิเวอร์แซลไลฟ์ Universal life Life insurance products,การประกันชีวิตกรมธรรม์หลัก (Life main policy)_การประกันภัยอุบัติเหตุส่วนบุคคล (Personal accident),สัญญาเพิ่มเติม (Rider)_รวมยอด (Total),สัญญาเพิ่มเติม (Rider)_อุบัติเหตุ (Accident),สัญญาเพิ่มเติม (Rider)_สุขภาพ (Health),สัญญาเพิ่มเติม (Rider)_อื่นๆ (Others),Type of insurance
รวมยอด,608654566,479280322,374321053,4085181,44955508,17684438,31208636,2662211,4363296,129374244,20110905,99940683,9322657,Total
เบี้ยประกันภัยปีแรก (หักส่งคืนแล้ว),107992139,85665160,64208505,153038,6451703,3605131,6588998,341005,4316781,22326979,1847807,19400466,1078706,First year premiums (less refund)
รับประกันภัย โดยตรง,113291581,88605956,66932008,153038,5558506,3605162,7487800,341022,4528419,24685625,1972536,21485695,1227393,Direct premiums
รับประกันภัยต่อ,2009724,2009396,587368,-,1422028,-,-,-,-,328,-,328,-,Reinsurance assumed
หัก: เอาประกันภัยต่อ,7309166,4950193,3310871,-,528831,31,898803,18,211638,2358974,124729,2085557,148687,Less: Reinsurance ceded
เบี้ยประกันภัยปีต่อไป (หักส่งคืนแล้ว),436642724,342817858,293160003,3932142,6426774,13849817,23355037,2047567,46518,93824866,9040873,80042551,4741442,Renewal premiums (less refund)
รับประกันภัย โดยตรง,454594765,353561290,301877914,3932142,7399702,13851577,24390297,2061669,47988,101033475,9647666,86278122,5107688,Direct premiums
รับประกันภัยต่อ,1455801,1455101,1143723,-,311378,-,-,-,-,700,-,700,-,Reinsurance assumed
หัก: เอาประกันภัยต่อ,19407843,12198533,9861634,-,1284306,1760,1035260,14102,1471,7209309,606793,6236271,366246,Less: Reinsurance ceded
เบี้ยประกันภัยจ่ายครั้งเดียว (หักส่งคืนแล้ว),64019704,50797305,16952545,-,32077031,229490,1264601,273640,-2,13222399,9222225,497666,3502508,Single premiums (less refund)
รับประกันภัย โดยตรง,65315252,51924272,16967107,-,33177680,229490,1276355,273640,-,13390980,9330552,518206,3542222,Direct premiums
รับประกันภัยต่อ,-,-,-,-,-,-,-,-,-,-,-,-,-,Reinsurance assumed
หัก: เอาประกันภัยต่อ,1295548,1126967,14562,-,1100649,-,11753,-,2,168581,108327,20540,39713,Less: Reinsurance ceded
,,,,,,,,,,,,,,
 ที่มา: สำนักงานคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย ,,,,,,,,,,,,,,
Source: Office of Insurance Commission,,,,,,,,,,,,,,
