ตาราง 14.22 ดัชนีราคาผู้บริโภครายได้น้อย จำแนกตามภาค และหมวดสินค้า พ.ศ. 2564 - 2566,,,,,,,,
Table 14.22 Low Income Consumer Price Index by Region and Commodity Group: 2021 - 2023,,,,,,,,
,,,,,,,,
,,,,,,,,[2562 (2019) = 100]
ภาค,หมวดสินค้า,2564 (2021)_ดัชนีราคาผู้บริโภค (Consumer price index),2565 (2022)_ดัชนีราคาผู้บริโภค (Consumer price index),2566 (2023)_ดัชนีราคาผู้บริโภค (Consumer price index),2565 (2022)_อัตราการเปลี่ยนแปลง (Percent change),2566 (2023)_อัตราการเปลี่ยนแปลง (Percent change),Region,Commodity group
ทั่วราชอาณาจักร,ดัชนีรวม,100.82,107.07,108.66,6.20,1.49,Whole Kingdom,Total index
ทั่วราชอาณาจักร,อาหารและเครื่องดื่มไม่มีแอลกอฮอล์,101.72,108.74,111.59,6.90,2.62,Whole Kingdom,Food and non-alcoholic beverages
ทั่วราชอาณาจักร,อื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,100.10,105.71,106.22,5.60,0.48,Whole Kingdom,Non-food and beverages
ทั่วราชอาณาจักร,เครื่องนุ่งห่มและรองเท้า,99.98,100.13,100.70,0.15,0.57,Whole Kingdom,Apparel and footware
ทั่วราชอาณาจักร,เคหสถาน,97.69,102.07,103.55,4.48,1.45,Whole Kingdom,Housing and furnishing
ทั่วราชอาณาจักร,การตรวจรักษาและบริการส่วนบุคคล,100.64,101.86,103.51,1.21,1.62,Whole Kingdom,Medical and personal care
ทั่วราชอาณาจักร,พาหนะ การขนส่ง และการสื่อสาร,103.08,113.84,112.53,10.44,-1.15,Whole Kingdom,Transportation and communication
ทั่วราชอาณาจักร,การบันเทิง การอ่าน การศึกษา และการศาสนา,99.82,100.00,100.84,0.18,0.84,Whole Kingdom,Recreation and education
ทั่วราชอาณาจักร,ยาสูบและเครื่องดื่มมีแอลกอฮอล์,100.28,102.13,102.81,1.84,0.67,Whole Kingdom,Tobacco and alcoholic beverages
กรุงเทพมหานคร(1),ดัชนีรวม,100.33,106.22,108.55,5.87,2.19,Bangkok(1),Total index
กรุงเทพมหานคร(1),อาหารและเครื่องดื่มไม่มีแอลกอฮอล์,101.46,109.52,113.66,7.94,3.78,Bangkok(1),Food and non-alcoholic beverages
กรุงเทพมหานคร(1),อื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,99.44,103.65,104.57,4.23,0.89,Bangkok(1),Non-food and beverages
