ตาราง 14.18 ดัชนีราคาผู้บริโภคทั่วไป จำแนกตามหมวดใหญ่ และหมวดย่อยของสินค้า พ.ศ. 2564 - 2566,,,,,,
Table 14.18 General Consumer Price Index by Group and Sub-Group of Commodity: 2021 - 2023,,,,,,
,,,,,,
,,,,,,[2562 (2019) = 100]
หมวดสินค้า,2564 (2021)_ดัชนีราคาผู้บริโภค (Consumer price index),2565 (2022)_ดัชนีราคาผู้บริโภค (Consumer price index),2566 (2023)_ดัชนีราคาผู้บริโภค (Consumer price index),2565 (2022)_อัตราเงินเฟ้อ (Inflation rate),2566 (2023)_อัตราเงินเฟ้อ (Inflation rate),Commodity group
ดัชนีราคาผู้บริโภคทั่วไป,100.37,106.47,107.78,6.08,1.23,General consumer price index
หมวดอาหาร และเครื่องดื่มไม่มีแอลกอฮอล์,101.1,108.1,110.87,6.92,2.56,Food and non-alcoholic beverages
ข้าว แป้ง และผลิตภัณฑ์จากแป้ง,96.22,95.34,99.22,-0.91,4.07, Rice flour and cereal products
เนื้อสัตว์ เป็ด ไก่ และสัตว์น้ำ,103.11,115.12,112.35,11.65,-2.41," Meat, poultry and fish"
ไข่และผลิตภัณฑ์นม,101.39,108.39,116.51,6.9,7.49, Eggs and dairy products
ผักและผลไม้,99.87,104.07,112.22,4.21,7.83, Vegetables and fruits
เครื่องประกอบอาหาร,107.17,116.92,116.59,9.1,-0.28, Seasonings and condiments
เครื่องดื่มไม่มีแอลกอฮอล์,101.35,104.19,108.08,2.8,3.73, Non-alcoholic beverages
อาหารบริโภค-ในบ้าน,100.97,108.56,112.2,7.52,3.35, Prepared food at home
อาหารบริโภค-นอกบ้าน,101.05,108.17,111.19,7.05,2.79, Food away from home
หมวดอื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,100.04,105.55,105.86,5.51,0.29,Non-food and beverages
หมวดเครื่องนุ่งห่ม และรองเท้า,99.77,99.81,100.05,0.04,0.24,Apparel and footware 
หมวดเคหสถาน,97.27,101.89,103.12,4.75,1.21,Housing and furnishing
ค่าที่พักอาศัย,100.18,100.3,100.57,0.12,0.27,Shelter
ไฟฟ้า เชื้อเพลิง น้ำประปา และแสงสว่าง,87.95,106.24,110.37,20.8,3.89,"Electricity, fuel and water supply "
สิ่งทอสำหรับใช้ในบ้าน,99.02,99.84,100.37,0.83,0.53,Textile-house furnishing
สิ่งที่เกี่ยวกับทำความสะอาด,100.06,102.84,103.72,2.78,0.86,Cleaning supplies
หมวดการตรวจรักษา และบริการส่วนบุคคล,100.49,101.62,103.22,1.12,1.57,Medical and personal care
ค่าตรวจรักษาและค่ายา,101.04,101.98,103.23,0.93,1.23, Medical care
ค่าใช้จ่ายส่วนบุคคล,100.42,101.68,103.47,1.25,1.76, Personal care expenditures
หมวดพาหนะ การขนส่ง และการสื่อสาร,102.84,112.15,111.05,9.05,-0.98,Transportation and communication
ค่าโดยสารสาธารณะ,102.37,105.75,109.69,3.3,3.73,Public transportation services
ยานพาหนะและน้ำมันเชื้อเพลิง,104,117.65,115.62,13.13,-1.73,Vehicles and vehicle operation
การสื่อสาร,99.94,99.87,99.97,-0.07,0.1,Communication and equipments
หมวดการบันเทิง การอ่าน การศึกษา และการศาสนา,99.61,99.84,100.8,0.23,0.96,Recreation and education
หมวดยาสูบ และเครื่องดื่มมีแอลกอฮอล์,100.3,102.31,103.12,2,0.79,Tobacco and alcoholic beverages
ผลิตภัณท์ยาสูบ,100.66,104.35,104.9,3.67,0.53,Tobacco products
เครื่องดื่มมีแอลกอฮอลล์,100.08,101.01,102,0.93,0.98,Alcoholic beverages
ดัชนีราคาผู้บริโภคพื้นฐาน,100.52,103.04,104.35,2.51,1.27,Core consumer price index
กลุ่มอาหารสดและพลังงาน,99.61,112.94,114.24,13.38,1.15,Raw food and energy
อาหารสด,100.7,107.56,110.1,6.81,2.36,Raw food
พลังงาน,98.96,123.2,122.43,24.49,-0.63,Energy
,,,,,,
ที่มา: สำนักงานนโยบายและยุทธศาสตร์การค้า กระทรวงพาณิชย์,,,,,,
"Source: Trade Policy and Strategic Office,  Ministry of Commerce",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,.,,,
