ตาราง  12.10 การขออนุมัติให้การส่งเสริมการลงทุน จำแนกตามกิจการ พ.ศ. 2566,,,,,,,
Table 12.10 Investment Projects Approved by BOI Classified by Sector: 2023,,,,,,,
,,,,,,,
,,,,,,,(ล้านบาท  Million Baht)
กิจการ,รวมจำนวนโครงการ (Total No. of projects),รวมเงินลงทุน (Total Investment),จำนวนโครงการไทย (No. Of Thai projects),จำนวนโครงการต่างชาติ (No. of Foreign projects),เงินลงทุนไทย (Thai Investment),เงินลงทุนต่างชาติ (Foreign Investment),Sector
รวมยอด,2383,750129,1033,1350,191120,559009,Total
เกษตร อาหารและเทคโนโลยีชีวภาพ,323,96681,226,97,60545,36136,"Agriculture, food and biotechnology industries"
การแพทย์,80,20897,43,37,4640,16257,Medical industry
เครื่องจักรและยานยนต์,314,87480,57,257,6958,80522,Machinery and vehicles industry
เครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์,227,270161,26,201,2760,267401,Electrical appliancesand electronics industry
อุตสาหกรรมโลหะและวัสดุ,244,53639,68,176,8777,44862,Metal and material industry
เคมีและปิโตรเคมี,172,42322,55,117,6010,36312,Chemical and  petrochemical industry
สาธารณูปโภค,506,59547,375,131,43600,15947,Public utilities
ดิจิทัล,180,21360,78,102,7970,13390,Digital industry
อุตสาหกรรมสร้างสรรค์,120,10042,48,72,1932,8110,Creative industry
บริการที่มีมูลค่าสูง,217,88002,57,160,47931,40071,High value service
,,,,,,,
 ที่มา:  สำนักงานคณะกรรมการส่งเสริมการลงทุน  สำนักนายกรัฐมนตรี,,,,,,,
"Source:  Thailand Board of Investment, Office of the Prime Minister",,,,,,,
