ตาราง 5.9 เจ้าหน้าที่ทางการแพทย์ของรัฐบาล รัฐวิสาหกิจ เทศบาล องค์กรอิสระ และเอกชน พ.ศ. 2562 - 2565,,,,,,,
"Table 5.9 Personnel in The Government, State Enterprise, Municipality,  Independence Agency and Private Sector: 2019 - 2022",,,,,,,
,                          ,,,,,,
,,,,,,,     (คน  Person)
ประเภทเจ้าหน้าที่,รายการ,2562 (2019),2563 (2019),2564 (2019),2565 (2019),Category of personnel,Item
แพทย์,ทั่วราชอาณาจักร,39156,36472,38820,39125,Doctor,Whole Kingdom
ทันตแพทย์,ทั่วราชอาณาจักร,8043,7561,8094,8132,Dentist,Whole Kingdom
เภสัชกร,ทั่วราชอาณาจักร,15044,15310,16090,16474,Pharmacist,Whole Kingdom
พยาบาลวิชาชีพ,ทั่วราชอาณาจักร,173197,176285,184840,190184,Professional nurse,Whole Kingdom
นักเทคนิคการแพทย์,ทั่วราชอาณาจักร,7718,8124,8773,9236,Medical technologist,Whole Kingdom
แพทย์,จำนวนประชากรต่อบุคลากร 1 คน (1),1674,1794,1680,1665,Doctor,No.of population per health personnel (1)
ทันตแพทย์,จำนวนประชากรต่อบุคลากร 1 คน (1),8151,8652,8057,8012,Dentist,No.of population per health personnel (1)
เภสัชกร,จำนวนประชากรต่อบุคลากร 1 คน (1),4358,4273,4053,3955,Pharmacist,No.of population per health personnel (1)
พยาบาลวิชาชีพ,จำนวนประชากรต่อบุคลากร 1 คน (1),379,371,353,343,Professional nurse,No.of population per health personnel (1)
นักเทคนิคการแพทย์,จำนวนประชากรต่อบุคลากร 1 คน (1),8494,8053,7433,7054,Medical technologist,No.of population per health personnel (1)
แพทย์,รัฐบาล,29571,26572,28610,28902,Doctor,Government
ทันตแพทย์,รัฐบาล,7081,6596,7169,7169,Dentist,Government
เภสัชกร,รัฐบาล,11801,12035,12479,12948,Pharmacist,Government
พยาบาลวิชาชีพ,รัฐบาล,139133,140298,148824,152680,Professional nurse,Government
นักเทคนิคการแพทย์,รัฐบาล,5657,5966,6352,6703,Medical technologist,Government
แพทย์,รัฐวิสาหกิจ,2,2,6,2,Doctor,State enterprise
ทันตแพทย์,รัฐวิสาหกิจ,2,2,5,2,Dentist,State enterprise
เภสัชกร,รัฐวิสาหกิจ,2,2,5,2,Pharmacist,State enterprise
พยาบาลวิชาชีพ,รัฐวิสาหกิจ,25,31,35,29,Professional nurse,State enterprise
นักเทคนิคการแพทย์,รัฐวิสาหกิจ,3,3,3,3,Medical technologist,State enterprise
แพทย์,เทศบาล,1236,1170,1192,1220,Doctor,Municipality
ทันตแพทย์,เทศบาล,265,275,282,274,Dentist,Municipality
เภสัชกร,เทศบาล,408,379,403,395,Pharmacist,Municipality
พยาบาลวิชาชีพ,เทศบาล,5783,5913,6073,6449,Professional nurse,Municipality
นักเทคนิคการแพทย์,เทศบาล,209,206,200,226,Medical technologist,Municipality
แพทย์,องค์กรอิสระ,611,621,736,762,Doctor,Independence agency
ทันตแพทย์,องค์กรอิสระ,264,260,196,245,Dentist,Independence agency
เภสัชกร,องค์กรอิสระ,242,247,282,297,Pharmacist,Independence agency
พยาบาลวิชาชีพ,องค์กรอิสระ,3540,3515,3878,4035,Professional nurse,Independence agency
นักเทคนิคการแพทย์,องค์กรอิสระ,147,153,361,385,Medical technologist,Independence agency
แพทย์,เอกชน,7736,8107,8276,8239,Doctor,Private sector
ทันตแพทย์,เอกชน,431,428,442,442,Dentist,Private sector
เภสัชกร,เอกชน,2591,2647,2921,2832,Pharmacist,Private sector
พยาบาลวิชาชีพ,เอกชน,24716,26528,26030,26991,Professional nurse,Private sector
นักเทคนิคการแพทย์,เอกชน,1702,1796,1857,1919,Medical technologist,Private sector
, ,,,,,,
(1) ประชากรกลางปี   กระทรวงสาธารณสุข,,,,,,,
"(1) Mid-year Population, Ministry of Public Health",,,,,,,
ที่มา: สำนักงานปลัดกระทรวงสาธารณสุข,,,,,,,
Source: Office of the Permanent Secretary Ministry of Public Health,,,,,,,
