ตาราง 5.5 ผู้ป่วยใน ตามกลุ่มสาเหตุป่วยที่สำคัญ จากสถานบริการสาธารณสุข ของกระทรวงสาธารณสุข พ.ศ. 2565,,,,
"Table 5.5 In-Patients by Major Cause Groups from Health Service Units, Ministry of Public Health: 2022",,,,
,,,,
,,,,(คน  Person)
กลุ่มสาเหตุ,รวมยอด (Total),ชาย (Male),หญิง (Female),Cause groups
รวมยอด,21613319,10501329,11111990,Total
บุคคลขอรับบริการเพื่อการตรวจ และชันสูตร,2543940,1237035,1306905,Persons encountering health services  for examination and investigation
ความผิดปกติของต่อมไร้ท่อ โภชนาการ และเมตะบอลิกอื่น ๆ,2226723,1076798,1149925,"Other endocrine, nutritional and metabolic disorders"
ความดันโลหิตสูงที่ไม่มีสาเหตุนำ,1407430,630594,776836,Essential (primary) hypertension
เบาหวาน,925111,385763,539348,Diabetes mellitus
ไตวาย,745741,378483,367258,Renal failure
ปอดบวม,698336,352227,346109,Pneumonia 
โลหิตจางอื่น ๆ,689153,320094,369059,Other anaemia
อาการ อาการแสดงและสิ่งผิดปกติที่พบจากการตรวจทางคลินิกและตรวจทางห้องปฏิบัติการที่มิได้มีรหัสระบุไว้,654140,351485,302655,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
บุคคลที่มีปัจจัยที่น่าจะเป็นอันตรายต่อสุขภาพที่เกี่ยวเนื่องกับโรคติดต่อ,617600,298093,319507,Other persons with potential health hazards related to communicable diseases
บุคคลขอรับบริการสุขภาพด้วยเหตุผลอื่น,442646,119653,322993,Persons encountering health services for other reasons
บุคคลขอรับบริการสุขภาพ เพื่อหัตถการ หรือการบริการสุขภาพที่ระบุเฉพาะ,373931,192474,181457,Persons encountering health services for specIfic procedures and health care
การเกิดของทารกตามสถานที่เกิด,367511,188960,178551,Liveborn infants according to place of birth
โรคอื่น ๆ ของระบบทางเดินหายใจ,316221,186175,130046,Other diseases of the respiratory system
