ตาราง 5.10 ใบอนุญาตประกอบธุรกิจเกี่ยวกับยา จำแนกตามภาค และจังหวัด พ.ศ. 2567,,,,,,,,,,,,
Table 5.10  Licence Concerning Drugs by Region and Province: 2024,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(ใบอนุญาต  Licences)
ภาค,จังหวัด,ยาแผนปัจจุบัน ขย1. (Modern drugs ขย1.),ยาแผนปัจจุบัน ขย2. (Modern drugs ขย2.),ยาแผนปัจจุบัน ขย3. (Modern drugs ขย3.),ยาแผนปัจจุบัน ขย4. (Modern drugs ขย4.),ยาแผนปัจจุบัน นย1. (Modern drugs นย1.),ยาแผนปัจจุบัน ผย1. (Modern drugs ผย1.),ยาแผนโบราณ ขยบ. (Traditional drugs ขยบ.),ยาแผนโบราณ นยบ. (Traditional drugs นยบ.),ยาแผนโบราณ ผยบ. (Traditional drugs ผยบ.),Region,Province
ทั่วราชอาณาจักร,,19126,1579,796,615,629,173,1129,47,533,Whole Kingdom,
กรุงเทพมหานคร และปริมณฑล,รวม,6023,150,145,565,605,144,207,30,167,Bangkok and Vicinities,Total
กรุงเทพมหานคร และปริมณฑล,กรุงเทพมหานคร,3429,85,81,462,510,66,6,2,11,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานคร และปริมณฑล,สมุทรปราการ,592,27,9,26,26,19,55,11,22,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานคร และปริมณฑล,นนทบุรี,605,-,20,40,33,15,40,7,47,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานคร และปริมณฑล,ปทุมธานี,719,4,7,14,18,24,39,6,33,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานคร และปริมณฑล,นครปฐม,415,23,21,20,11,12,51,2,40,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานคร และปริมณฑล,สมุทรสาคร,263,11,7,3,7,8,16,2,14,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,780,124,77,5,2,12,66,2,30,Central Region,Total
ภาคกลาง,พระนครศรีอยุธยา,294,26,3,4,2,7,22,2,16,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,48,12,3,-,-,-,-,-,2,Central Region,Ang Thong 
ภาคกลาง,ลพบุรี,137,28,24,-,-,2,18,-,7,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,48,11,6,-,-,-,14,-,5,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,61,17,7,-,-,-,12,-,-,Central Region,Chai Nat
ภาคกลาง,สระบุรี,192,30,34,1,-,3,-,-,-,Central Region,Saraburi
ภาคตะวันออก,รวม,2624,149,41,10,16,11,127,9,58,Eastern Region,Total
ภาคตะวันออก,ชลบุรี,1528,64,21,6,12,4,50,6,9,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,401,18,2,-,1,2,22,-,5,Eastern Region,Rayong
ภาคตะวันออก,จันทบุรี,166,13,1,1,-,-,17,-,13,Eastern Region,Chanthaburi
ภาคตะวันออก,ตราด,89,18,-,-,-,-,5,-,14,Eastern Region,Trat
ภาคตะวันออก,ฉะเชิงเทรา,178,14,10,3,3,3,24,3,11,Eastern Region,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,127,3,2,-,-,1,-,-,2,Eastern Region,Prachin Buri
ภาคตะวันออก,นครนายก,49,5,1,-,-,1,5,-,4,Eastern Region,Nakhon Nayok
ภาคตะวันออก,สระแก้ว,86,14,4,-,-,-,4,-,-,Eastern Region,Sa Kaeo
ภาคตะวันตก,รวม,880,123,67,2,2,3,92,0,50,Western Region,Total
ภาคตะวันตก,ราชบุรี,234,29,16,1,2,3,32,-,22,Western Region,Ratchaburi
ภาคตะวันตก,กาญจนบุรี,148,39,9,1,-,0,18,-,10,Western Region,Kanchanaburi
ภาคตะวันตก,สุพรรณบุรี,161,36,17,-,-,-,-,-,-,Western Region,Suphan Buri
ภาคตะวันตก,สมุทรสงคราม,45,-,-,-,-,-,11,-,5,Western Region,Samut Songkhram
ภาคตะวันตก,เพชรบุรี,107,4,14,-,-,-,18,-,10,Western Region,Phetchaburi
ภาคตะวันตก,ประจวบคีรีขันธ์,185,15,11,-,-,-,13,-,3,Western Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,2483,410,172,12,4,2,227,2,110,Northern Region,Total
ภาคเหนือ,เชียงใหม่,714,34,34,10,3,-,46,1,26,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,120,11,6,-,-,-,2,1,7,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,120,16,10,-,-,-,7,-,14,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,85,16,9,-,-,-,11,-,3,Northern Region,Uttaradit
ภาคเหนือ,แพร่,88,15,5,-,-,-,4,-,13,Northern Region,Phrae
ภาคเหนือ,น่าน,104,9,9,-,-,-,2,-,3,Northern Region,Nan
ภาคเหนือ,พะเยา,102,9,1,-,-,-,2,-,-,Northern Region,Phayao
ภาคเหนือ,เชียงราย,231,37,12,-,1,2,5,-,6,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,23,6,1,-,-,-,1,-,-,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,172,64,16,-,-,-,55,-,13,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,38,20,8,-,-,-,10,-,6,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,84,30,4,1,-,-,37,-,3,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,110,3,8,-,-,-,1,-,-,Northern Region,Tak
ภาคเหนือ,สุโขทัย,93,18,14,-,-,-,8,-,4,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,184,24,17,1,-,-,14,-,2,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,63,27,10,-,-,-,20,-,6,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,152,71,8,-,-,-,2,-,4,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,3326,431,254,13,0,1,255,1,71,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,478,39,39,4,-,-,8,1,15,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,178,62,10,-,-,-,4,-,5,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,125,15,12,-,-,-,-,-,-,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,140,14,7,-,-,-,9,-,-,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,285,51,18,-,-,-,27,-,6,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,80,8,9,-,-,-,11,-,4,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,131,35,10,-,-,-,6,-,2,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,49,-,4,1,-,-,1,-,-,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,54,9,7,-,-,-,10,-,-,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,412,24,24,2,-,-,41,-,13,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,305,37,25,2,-,-,36,-,-,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,87,30,3,-,-,-,15,-,2,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,108,20,13,2,-,-,18,-,2,Northeastern Region,Nong Khai
