ตาราง 5.2 ประชากรอายุ 15 ปีขึ้นไปที่สูบบุหรี่และดื่มเครื่องดื่มที่มีแอลกอฮอล์ จำแนกตามพฤติกรรมการสูบบุหรี่/การดื่มเครื่องดื่มที่มีแอลกอฮอล์ เพศ และกลุ่มอายุ พ.ศ. 2558 2560 และ 2564,,,,,,,,,
"Table 5.2 Population Aged 15 Years and Over Smoking and Alcohol Consumption by Smoking/Alcohol Consumption Behaviour, Sex and Age Group: 2015, 2017 and 2021 ",,,,,,,,,
,,,,,,,,,
,,,,,,,(พันคน  Thousand persons),,
พฤติกรรม,ประเภทพฤติกรรม,รายการ,2558 (2015)  (1),2560 (2017) (2),2564 (2021) (3),Behaviour,Type of behaviour,Item,
การสูบบุหรี่,รวมยอด,,55158,55948,57022,Smoking,Total,,
การสูบบุหรี่,ไม่สูบและไม่เคยสูบ,,38667,40513,42783,Smoking,Non-smokers and never smoked,,
การสูบบุหรี่,ปกติไม่สูบ แต่เคยสูบ,,5438,4759,4302,Smoking,Former smokers,,
การสูบบุหรี่,ปกติสูบ,,10947,10676,9937,Smoking,Current Smokers,, 
การสูบบุหรี่,ปกติสูบ,เพศชาย,10445,10193,9544,Smoking,Current Smokers,Male,
การสูบบุหรี่,ปกติสูบ,เพศหญิง,502,483,393,Smoking,Current Smokers,Female,
การสูบบุหรี่,ปกติสูบ,กลุ่มอายุ 15 - 24 ปี,1462,1472,1162,Smoking,Current Smokers,Age group 15 - 24 year,
การสูบบุหรี่,ปกติสูบ,กลุ่มอายุ 25 - 59 ปี,8044,7582,7119,Smoking,Current Smokers,Age group 25 - 59 year,
การสูบบุหรี่,ปกติสูบ,กลุ่มอายุ 60 ปีขึ้นไป,1441,1622,1656,Smoking,Current Smokers,Age group 60 years and over,
การสูบบุหรี่,ไม่ทราบ,,107,-,-,Smoking,Unknown,,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,รวมยอด,,55158,55948,57022, Alcohol consumption ,Total,,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ไม่เคยดื่มเครื่องดื่มที่มีแอลกอฮอล์เลยในชีวิตนี้,,26409,31989,32475, Alcohol consumption ,Never drank alcoholic beverages,,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,เคยดื่มแต่ไม่ดื่ม,,9711,8062,8581, Alcohol consumption ,Ever drank but did not drink,,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ดื่มเครื่องดื่มที่มีแอลกอฮอล์,,18642,15897,15966, Alcohol consumption ,Alcohol consumption,,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ดื่มเครื่องดื่มที่มีแอลกอฮอล์,เพศชาย,14947,12825,12769, Alcohol consumption ,Alcohol consumption,Male,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ดื่มเครื่องดื่มที่มีแอลกอฮอล์,เพศหญิง,3695,3072,3198, Alcohol consumption ,Alcohol consumption,Female,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ดื่มเครื่องดื่มที่มีแอลกอฮอล์,กลุ่มอายุ 15 - 24 ปี,2807,2283,1918, Alcohol consumption ,Alcohol consumption,Age group 15 - 24 year,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ดื่มเครื่องดื่มที่มีแอลกอฮอล์,กลุ่มอายุ 25 - 59 ปี,14138,11898,12085, Alcohol consumption ,Alcohol consumption,Age group 25 - 59 year,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ดื่มเครื่องดื่มที่มีแอลกอฮอล์,กลุ่มอายุ 60 ปีขึ้นไป,1697,1717,1963, Alcohol consumption ,Alcohol consumption,Age group 60 years and over,
การดื่มเครื่องดื่มที่มีแอลกอฮอล์,ไม่ทราบ,,397,-,-, Alcohol consumption ,Unknown,,
,,,,,,,,,
(1) การสำรวจอนามัย และสวัสดิการ,,,,,,,,,
(1) The Health and Welfare Survey,,,,,,,,,
(2) การสำรวจพฤติกรรมการสูบบุหรี่และการดื่มสุราของประชากร,,,,,,,,,
(2) The Smoking and Drinking Behaviour Survey,,,,,,,,,
(3) การสำรวจพฤติกรรมด้านสุขภาพของประชากร,,,,,,,,,
(3) The Health Behavior of Population Survey,,,,,,,,,
ที่มา: สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source: National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,,
