ตาราง 13.8 ปริมาณการจำหน่ายน้ำมันเชื้อเพลิง จำแนกตามชนิดของน้ำมันเชื้อเพลิง พ.ศ. 2563 - 2566,,,,,
Table 13.8 Quantity of Oil to Sale by Type of Fuel: 2020 - 2023,,,,,
,,,,,
,,,,,(พันลิตร  Thousand litre)
ชนิดของน้ำมันเชื้อเพลิง,2563 (2020),2564 (2021),2565 (2022),2566 (2023),Type of fuel
แก๊สโซฮอล์ อี10 ออกเทน 91,3006561,2518355,2563016,2514479,Gasohol E10 octane 91
แก๊สโซฮอล์ อี10 ออกเทน 95,5126858,5100775,5656630,6270665,Gasohol E10 octane 95
แก๊สโซฮอล์ อี10 ออกเทน 95 (ชนิดพิเศษ),461036,336031,285383,288301,Gasohol E10 octane 95 (Premium)
น้ำมันแก๊สโซฮอล์ อี 20,2393482,2113476,2007933,2146551,Gasohol E20
น้ำมันแก๊สโซฮอล์ อี 85,329921,285661,302311,56778,Gasohol E85
น้ำมันเบนซิน ออกเทน 91,101052,166758,172601,113855,ULG 91
น้ำมันเบนซิน,290529,224218,191548,168339,ULG
น้ำมันดีเซลหมุนเร็ว บี 7,15270444,13996978,22951438,23212763,ADO B7
น้ำมันดีเซลหมุนเร็ว บี 7 (ชนิดพิเศษ),535387,360348,241184,186188,ADO B7 (Premium)
น้ำมันดีเซลหมุนเร็วธรรมดา (ชนิดพิเศษ),954,13474,4648,554,ADO (Premium)
น้ำมันดีเซลหมุนเร็ว บี 7 (ชนิดพิเศษ) ยูโร 5,227568,185211,123945,109684,ADO B7 (Premium) Euro 5
น้ำมันดีเซลหมุนเร็วธรรมดา,5933762,7014453,829723,281047,ADO
น้ำมันดีเซลหมุนเร็ว บี 20,1268464,359867,68385,54694,ADO B20
น้ำมันดีเซลพื้นฐาน (10 PPM),1727,2399,2715,2907,Base diesel (10 PPM)
น้ำมันดีเซลพื้นฐาน (50 PPM),383070,935454,2327665,1201228,Base diesel (50 PPM)
น้ำมันดีเซลกำมะถันสูง,70199,83230,84946,80191,High sulphur diesel
น้ำมันดีเซลเขตต่อเนื่อง  (น้ำมันเขียว),254532,90538,28760,23331,Ado sell in contiguous Zone
น้ำมันเตา,1750840,2018564,2336037,1967624,Fuel oil
ก๊าซแอลพีจี(1),3388841,3372160,3620748,3641293,LPG(1)
โพรเพน(1),576341,584916,536020,399776,Propane(1)
บิวเทน(1),2468,1680,1505,1607,Butane(1)
,,,,,
(1) ปริมาณเป็นพันกิโลกรัม ,,,,,
(1) Quantities in thousand kilogram,,,,,
ที่มา: กรมธุรกิจพลังงาน  กระทรวงพลังงาน,,,,,
"Source: Department of Energy Business,  Ministry of Energy   ",,,,,
