ตาราง 19.4 งบประมาณรายจ่าย จำแนกตามลักษณะเศรษฐกิจตามระบบ GFS ปีงบประมาณ 2566 - 2567,,,,,,,
Table 19.4  Budget Appropriation by Economic Classification According to Government Finance Statistics System (GFS): Fiscal Years 2023 - 2024,,,,,,,
,,,,,,,
,,,,,,,(ล้านบาท  Million Baht)
ลักษณะเศรษฐกิจตามระบบ GFS,2566 (2023) _จำนวน (Number),2566 (2023) _(%),2567 (2024) _จำนวน (Number),2567 (2024) _(%),การเปลี่ยนแปลง (Change) _จำนวน (Number),การเปลี่ยนแปลง (Change) _(%),GFS Classification
วงเงินงบประมาณรายจ่าย,3185000.0,100.0,3480000.0,100.0,295000.0,9.3,Budget appropriation
ค่าใช้จ่าย,2635332.1,82.7,2765887.3,79.5,130555.2,5.0,Expenses
ค่าตอบแทนแรงงาน,888702.2,27.9,919865.3,26.5,31163.1,3.5,Compensation of employees
เงินเดือนและค่าจ้าง,812222.2,25.5,840650.3,24.2,26428.1,3.5,Wages and salaries
เงินสมทบเพื่อสังคม,76480.0,2.4,79215.0,2.3,2735.0,3.6,Social contributions
การใช้สินค้าและบริการ,370828.1,11.6,400926.8,11.5,30098.7,8.1,Use of goods and services
รายจ่ายดอกเบี้ย,192126.1,6.1,210595.5,6.0,18469.4,9.6,Interest payments
รายจ่ายดอกเบี้ยภายในประเทศ,190059.2,6.0,208993.8,6.0,18934.6,10.0,Domestic interest
รายจ่ายดอกเบี้ยต่างประเทศ,2066.9,0.1,1601.6,--,-465.3,-22.5,Foreign interest
เงินอุดหนุน,124763.8,3.9,108811.6,3.1,-15952.2,-12.8,Subsidies 
เงินอุดหนุนให้แก่รัฐวิสาหกิจ,124539.4,3.9,108801.0,3.1,-15738.4,-12.6,To public corporations
เงินอุดหนุนรัฐวิสาหกิจที่ไม่ใช่สถาบันการเงิน,23570.0,0.7,27731.6,0.8,4161.6,17.7,To non-financial public corporations
เงินอุดหนุนสถาบันการเงิน,100969.4,3.2,81069.3,2.3,-19900.1,-19.7,To financial public  corporations
เงินอุดหนุนให้แก่หน่วยธุรกิจ,224.4,--,10.7,--,-213.8,-95.3,To private enterprises
เงินช่วยเหลือ,567842.9,17.8,656277.8,18.9,88434.9,15.6,Grants
เงินช่วยเหลือที่ให้แก่องค์กรระหว่างประเทศ,1408.0,--,2187.9,0.1,779.9,55.4,To international organizations
เงินช่วยเหลือที่ให้แก่หน่วยงานอื่น ของรัฐบาล,566434.9,17.8,654089.9,18.8,87655.0,15.5,To other government unit
เพื่อการใช้จ่ายประจำ,491445.6,15.4,568192.8,16.3,76747.2,15.6,Current
เพื่อการลงทุน,74989.3,2.4,85897.1,2.5,10907.8,14.5,Capital
ผลประโยชน์เพื่อสังคม,402992.6,12.7,409952.6,11.8,6960.0,1.7,Social benefits
ค่าใช้จ่ายอื่นๆ,88076.3,2.7,59457.7,1.7,-28618.6,-32.5,Other expenses
เพื่อการใช้จ่ายประจำ,45212.9,1.4,18309.8,0.5,-26903.1,-59.5,Current
เพื่อการลงทุน,42863.4,1.3,41147.9,1.2,-1715.5,-4.0,Capital
รายจ่ายเพื่อซื้อสินทรัพย์ทุนถาวร,479336.1,15.1,507011.8,14.6,27675.7,5.8,Acquisition of nonfinancial assets
รายจ่ายเพื่อสินทรัพย์การเงิน,701.4,--,-,-,-701.4,-100.0,Purchase of equity
รายจ่ายชำระคืนต้นเงินกู้ (1),69630.4,2.2,88739.8,2.5,19109.4,27.4,Principal repayments (1)
รายจ่ายเพื่อชดใช้เงินคงคลัง,-,-,118361.1,3.4,118361.1,100.0,Replenishment of treasury account balance
,,,,,,,
(1) ไม่รวมรายจ่ายชำระคืนต้นเงินกู้ของรัฐวิสาหกิจ  เนื่องจากได้รวมอยู่ในหัวข้อค่าใช้จ่ายอื่นๆ,,,,,,,
(1) Excluding principal repayment of state enterprises as it is included under other expense,,,,,,,
ที่มา: สำนักงบประมาณ  สำนักนายกรัฐมนตรี,,,,,,,
"Source: Budget Bureau, Office of the Prime Minister",,,,,,,
