ตาราง 16.4 ผู้มีโทรศัพท์มือถือ จำแนกตามประเภทโทรศัพท์มือถือ และภาค พ.ศ. 2565 - 2566,,,,,,,
Table 16.4 Users Who Have Own Mobile Phone by Type of Mobile Phone and Region: 2022 - 2023,,,,,,,
,,,,,,,
,,,,,,,(พันคน Thousand persons)
ปี,ภาค,รวม (Total),Smart phone,Feature phone,Smart phone and Feature phone,year,Region
2565,ทั่วราชอาณาจักร,57667.2,54473.7,3161.0,32.5,2022,Whole Kingdom
2565,กรุงเทพมหานคร,8095.1,7945.8,146.5,2.8,2022,Bangkok
2565,ภาคกลาง,18708.3,17830.1,872.4,5.8,2022,Central Region
2565,ภาคเหนือ,9063.7,8257.9,802.1,3.8,2022,Northern Region
2565,ภาคตะวันออกเฉียงเหนือ,14193.9,13159.7,1017.0,17.2,2022,Northeastern Region
2565,ภาคใต้,7606.3,7280.3,323.0,3.0,2022,Southern Region
2566,ทั่วราชอาณาจักร,57897.3,55425.3,2459.7,12.3,2023,Whole Kingdom
2566,กรุงเทพมหานคร,8110.4,7973.9,135.5,1.0,2023,Bangkok
2566,ภาคกลาง,18939.7,18210.1,724.6,5.0,2023,Central Region
2566,ภาคเหนือ,8988.6,8318.7,666.8,3.2,2023,Northern Region
2566,ภาคตะวันออกเฉียงเหนือ,14215.3,13525.3,688.3,1.7,2023,Northeastern Region
2566,ภาคใต้,7643.4,7397.5,244.5,1.4,2023,Southern Region
,,,,,,,
ที่มา: การสำรวจการมีการใช้เทคโนโลยีสารสนเทศและการสื่อสารในครัวเรือน สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,
"Source: The Households Survey on the Use of Information and Communication Technology, National Statistical Office Ministry of Digital Economy and Society",,,,,,,
