ตาราง  16.6  ผู้ไม่ใช้โทรศัพท์มือถือ จำแนกตามเหตุผลที่ไม่ใช้โทรศัพท์มือถือ และภาค พ.ศ. 2565 - 2566,,,,,,,,,,
Table   16.6  Population Not Using Mobile Phone  by Type of Reason and Region: 2022 - 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,(หน่วยเป็นพัน  In thousand)
ปี,ภาค,รวม (Total),ไม่มีความจำเป็น/ไม่สนใจ (Unnecessary /Not interest),ใช้ไม่เป็น (Can't used),"ค่าใช้จ่ายเกี่ยวกับโทรศัพท์มือถือสูงเกินไป เช่น ค่าบริการ ค่าเครื่อง เป็นต้น (Cost of mobile phone use is too high (eg. service charges,mobile price, etc.))",ไม่มีสัญญาณโทรศัพท์ในพื้นที่ (Mobile phone signal  is not available in the area),สัญญาณไม่ชัดเจน (Unstable signal of network),อื่นๆ (Others),year,Region
2565,ทั่วราชอาณาจักร,3271.1,1896.2,1241.8,83.7,14.0,1.3,34.1,2022,Whole Kingdom
2565,กรุงเทพมหานคร,197.4,147.7,41.8,1.9,0.0,0.2,6.0,2022,Bangkok
2565,ภาคกลาง,761.0,437.3,295.6,14.4,0.2,-,13.5,2022,Central Region
2565,ภาคเหนือ,781.0,481.5,268.5,14.5,12.4,1.1,3.0,2022,Northern Region
2565,ภาคตะวันออกเฉียงเหนือ,1078.0,566.9,458.5,45.1,0.1,-,7.3,2022,Northeastern Region
2565,ภาคใต้,453.7,262.8,177.4,7.8,1.3,-,4.4,2022,Southern Region
2566,ทั่วราชอาณาจักร,3294.6,1920.2,1242.4,89.8,18.9,0.9,22.4,2023,Whole Kingdom
2566,กรุงเทพมหานคร,204.0,155.0,44.4,2.6,0.0,-,2.0,2023,Bangkok
2566,ภาคกลาง,795.9,480.0,292.1,19.6,0.0,-,4.1,2023,Central Region
2566,ภาคเหนือ,793.8,468.5,288.0,16.4,16.2,0.5,4.2,2023,Northern Region
2566,ภาคตะวันออกเฉียงเหนือ,1040.7,554.2,435.8,44.1,0.1,0.2,6.4,2023,Northeastern Region
2566,ภาคใต้,460.2,262.5,182.1,7.2,2.6,0.2,5.7,2023,Southern Region
,,,,,,,,,,
ที่มา: การสำรวจการมีการใช้เทคโนโลยีสารสนเทศและการสื่อสารในครัวเรือน สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,
"Source: The Households Survey on the Use of Information and Communication Technology, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,,,
