ตาราง 16.7 ครัวเรือนที่มีเทคโนโลยีสารสนเทศและการสื่อสาร จำแนกตามภาค พ.ศ. 2565 - 2566,,,,,,,,,,
Table 16.7 Households Having Devices of Information and Communication Technology by Region: 2022 - 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, (พันครัวเรือน  Thousand households)
ปี,ภาค,ครัวเรือนทั้งสิ้น (Total household),มีโทรศัพท์มือถือ (Have a mobile phone),ไม่มีโทรศัพท์มือถือ (None Have a mobile phone),มีคอมพิวเตอร์ (Have Computer) (1),ไม่มีคอมพิวเตอร์ (None Computer) (1),เชื่อมต่ออินเทอร์เน็ต  (Internet connect),ไม่เชื่อมต่ออินเทอร์เน็ต  (None Internet connect),year,Region
2565,ทั่วราชอาณาจักร,24134.5,23365.3,769.2,5979.6,18154.9,21562.8,2571.7,2022,Whole Kingdom
2565,กรุงเทพมหานคร,3329.3,3296.4,32.9,1201.5,2127.8,3206.5,122.8,2022,Bangkok
2565,ภาคกลาง,7773.7,7621.1,152.6,2224.5,5549.2,7191.2,582.5,2022,Central Region
2565,ภาคเหนือ,3984.9,3777.5,207.4,862.9,3122.0,3277.6,707.3,2022,Northern Region
2565,ภาคตะวันออกเฉียงเหนือ,6017.9,5744.6,273.3,1035.7,4982.3,5140.4,877.5,2022,Northeastern Region
2565,ภาคใต้,3028.7,2925.7,103.1,655.0,2373.7,2747.1,281.6,2022,Southern Region
2566,ทั่วราชอาณาจักร,23715.9,22954.6,761.3,5364.4,18351.5,21478.7,2237.1,2023,Whole Kingdom
2566,กรุงเทพมหานคร,3166.4,3132.2,34.2,1120.6,2045.9,3072.9,93.5,2023,Bangkok
2566,ภาคกลาง,7742.8,7586.3,156.5,1985.5,5757.2,7189.6,553.2,2023,Central Region
2566,ภาคเหนือ,3920.8,3711.6,209.2,756.7,3164.1,3286.5,634.3,2023,Northern Region
2566,ภาคตะวันออกเฉียงเหนือ,5852.4,5596.3,256.1,898.9,4953.5,5155.7,696.8,2023,Northeastern Region
2566,ภาคใต้,3033.5,2928.2,105.3,602.7,2430.8,2774.0,259.4,2023,Southern Region
,,,,,,,,,,
(1)  คอมพิวเตอร์แบบตั้งโต๊ะ  คอมพิวเตอร์แบบพกพา  และคอมพิวเตอร์พกพาขนาดกลาง,,,,,,,,,,
"(1)  Personal computer/Desktop, Notebook/Laptop, Netbook and Tablet",,,,,,,,,,
ที่มา: การสำรวจการมีการใช้เทคโนโลยีสารสนเทศและการสื่อสารในครัวเรือน สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,
"Source: The Households Survey on the Use of Information and Communication Technology, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,,,
